Values ,histogram2D(_statGetWaveform( "Rv2i_250mV" nil ?resDbFile axlGetHistoryResults(axlGetCurrentHistory(_vivaGetSessionName())) ?testName "spike_enc:tb_pos_v2i_updated:1" ?filtPointsList "" ) 10 "standard" "stddev" t)
925.3E3,1
931.0E3,12
932.3E3,3
932.3E3,6
932.6E3,2
932.7E3,11
934.5E3,5
935.0E3,7
936.0E3,9
936.1E3,10
937.2E3,8
937.3E3,4
937.7E3,16
937.7E3,14
937.9E3,26
939.3E3,2
941.7E3,12
942.2E3,28
942.3E3,21
943.1E3,9
943.3E3,4
943.7E3,25
944.3E3,6
944.9E3,29
945.3E3,1
945.5E3,13
945.9E3,5
946.1E3,27
946.1E3,8
946.9E3,22
946.9E3,18
946.9E3,24
946.9E3,7
947.2E3,15
947.2E3,10
947.3E3,17
948.1E3,3
948.9E3,20
949.0E3,19
949.2E3,23
949.4E3,11
949.6E3,6
949.7E3,4
950.1E3,50
950.2E3,20
950.3E3,2
950.4E3,14
950.4E3,16
950.5E3,10
950.7E3,23
950.8E3,52
951.3E3,48
951.7E3,1
951.8E3,51
951.9E3,62
952.0E3,46
952.2E3,18
952.3E3,8
952.3E3,40
952.7E3,11
952.8E3,54
953.6E3,38
953.6E3,64
953.6E3,7
953.7E3,19
953.8E3,57
953.8E3,21
954.1E3,67
954.1E3,60
954.2E3,45
954.3E3,29
954.6E3,49
954.7E3,53
954.8E3,61
955.0E3,12
955.9E3,13
956.0E3,34
956.3E3,26
956.3E3,41
956.3E3,24
956.5E3,56
956.5E3,43
956.5E3,17
957.0E3,32
957.0E3,30
957.0E3,36
957.1E3,37
957.3E3,27
957.4E3,59
957.9E3,22
957.9E3,58
958.3E3,9
958.7E3,44
959.0E3,33
959.5E3,5
959.5E3,55
959.7E3,25
960.2E3,42
960.2E3,15
960.6E3,39
960.6E3,35
960.6E3,63
961.1E3,31
961.1E3,28
961.2E3,47
961.2E3,66
961.4E3,65
961.5E3,3
961.7E3,30
962.0E3,42
962.2E3,31
962.3E3,12
962.5E3,44
962.5E3,11
962.7E3,6
962.8E3,4
963.2E3,23
963.2E3,32
963.3E3,41
963.3E3,51
963.4E3,20
963.7E3,39
963.8E3,9
964.0E3,40
964.6E3,35
964.7E3,2
964.9E3,50
964.9E3,38
964.9E3,10
965.4E3,8
965.5E3,29
965.7E3,48
965.7E3,19
965.9E3,21
965.9E3,37
966.1E3,5
966.3E3,26
966.5E3,27
966.8E3,46
966.9E3,15
967.3E3,17
967.4E3,18
967.6E3,14
967.9E3,43
968.0E3,47
968.3E3,13
968.5E3,36
968.9E3,49
969.0E3,45
970.2E3,52
970.4E3,1
971.0E3,3
971.0E3,25
971.1E3,7
971.2E3,24
971.4E3,22
971.9E3,28
972.0E3,34
973.5E3,33
973.7E3,16
973.9E3,6
973.9E3,16
974.1E3,10
974.2E3,20
974.8E3,21
975.4E3,3
975.4E3,12
975.7E3,19
975.8E3,17
975.8E3,5
976.0E3,13
976.3E3,15
976.6E3,22
977.1E3,14
977.6E3,8
981.1E3,7
981.3E3,1
982.1E3,18
983.4E3,2
983.8E3,4
984.6E3,9
984.8E3,11
986.1E3,5
986.1E3,3
987.4E3,1
988.1E3,4
990.5E3,9
990.9E3,10
991.4E3,2
992.5E3,6
993.9E3,8
994.8E3,7
998.4E3,4
1.000E6,1
1.003E6,2
1.004E6,3
1.015E6,1
1.025E6,1
1.036E6,2
1.046E6,1
