Values ,histogram2D(_statGetWaveform( "Rv2i_250mV" nil ?resDbFile axlGetHistoryResults(axlGetCurrentHistory(_vivaGetSessionName())) ?testName "spike_enc:tb_pos_v2i_updated:1" ?filtPointsList "" ) 10 "standard" "stddev" t)
1.531E9,1
1.556E9,2
1.557E9,1
1.558E9,5
1.560E9,3
1.561E9,4
1.563E9,17
1.564E9,11
1.564E9,12
1.564E9,16
1.565E9,10
1.565E9,6
1.568E9,5
1.571E9,8
1.571E9,14
1.572E9,15
1.572E9,1
1.572E9,9
1.575E9,4
1.576E9,13
1.576E9,2
1.576E9,7
1.578E9,18
1.578E9,3
1.579E9,24
1.579E9,9
1.580E9,13
1.580E9,1
1.581E9,31
1.581E9,12
1.581E9,21
1.581E9,34
1.582E9,20
1.583E9,15
1.583E9,29
1.584E9,25
1.584E9,19
1.584E9,28
1.584E9,2
1.585E9,16
1.585E9,11
1.585E9,35
1.586E9,3
1.586E9,22
1.588E9,23
1.588E9,32
1.589E9,18
1.590E9,5
1.590E9,8
1.590E9,7
1.590E9,27
1.591E9,4
1.592E9,33
1.592E9,14
1.592E9,6
1.592E9,26
1.593E9,10
1.593E9,17
1.594E9,30
1.595E9,11
1.595E9,35
1.597E9,5
1.597E9,15
1.597E9,21
1.598E9,7
1.598E9,34
1.598E9,3
1.598E9,2
1.599E9,38
1.599E9,1
1.599E9,12
1.599E9,18
1.600E9,25
1.600E9,17
1.601E9,36
1.601E9,33
1.602E9,22
1.602E9,4
1.602E9,27
1.604E9,23
1.604E9,29
1.605E9,32
1.606E9,20
1.606E9,6
1.606E9,14
1.606E9,16
1.606E9,26
1.607E9,24
1.607E9,28
1.608E9,31
1.608E9,13
1.609E9,37
1.609E9,9
1.609E9,10
1.610E9,19
1.610E9,8
1.610E9,30
1.612E9,14
1.612E9,6
1.612E9,10
1.612E9,16
1.612E9,25
1.612E9,21
1.613E9,35
1.614E9,18
1.614E9,28
1.614E9,2
1.614E9,34
1.614E9,23
1.616E9,29
1.616E9,7
1.617E9,1
1.617E9,27
1.617E9,8
1.618E9,30
1.618E9,39
1.619E9,11
1.619E9,22
1.619E9,31
1.619E9,13
1.620E9,4
1.620E9,24
1.621E9,15
1.621E9,9
1.621E9,36
1.622E9,37
1.622E9,33
1.622E9,12
1.623E9,19
1.624E9,26
1.624E9,20
1.624E9,17
1.625E9,3
1.625E9,38
1.626E9,5
1.626E9,32
1.627E9,11
1.627E9,1
1.628E9,22
1.628E9,9
1.629E9,28
1.629E9,6
1.629E9,32
1.630E9,8
1.630E9,33
1.631E9,35
1.631E9,29
1.632E9,15
1.632E9,5
1.632E9,24
1.632E9,31
1.633E9,36
1.633E9,19
1.633E9,34
1.633E9,21
1.633E9,27
1.634E9,7
1.634E9,18
1.635E9,3
1.635E9,30
1.636E9,20
1.637E9,13
1.638E9,26
1.638E9,17
1.639E9,14
1.639E9,4
1.640E9,16
1.641E9,23
1.641E9,2
1.641E9,10
1.641E9,12
1.642E9,25
1.644E9,15
1.645E9,16
1.645E9,2
1.646E9,18
1.646E9,8
1.647E9,20
1.647E9,17
1.648E9,9
1.649E9,4
1.650E9,1
1.651E9,14
1.651E9,10
1.653E9,7
1.654E9,5
1.654E9,3
1.655E9,6
1.655E9,12
1.656E9,13
1.657E9,11
1.657E9,19
1.662E9,3
1.662E9,2
1.663E9,6
1.669E9,5
1.670E9,1
1.670E9,4
1.679E9,2
1.691E9,1
