v("/vin" ?result "dc")/i("/M6/D" ?result "dc") X,v("/vin" ?result "dc")/i("/M6/D" ?result "dc") Y
0,0
0.01,7411899.710838761
0.02,7937992.127951332
0.03,8360469.953639452
0.04,8774954.969836235
0.05,9202975.551071929
0.06,9653368.078496564
0.07000000000000001,10131487.19979729
0.08,10641620.68103282
0.09,11187870.78183127
0.09999999999999999,11774565.48968882
0.11,12406438.73269777
0.12,13088533.58095619
0.13,13825573.58917434
0.14,14620430.29155142
0.15,15471749.19865177
0.16,16372278.7053581
0.17,17310283.7403781
0.18,18273573.05164023
0.19,19252624.72995783
0.2,20241183.9583802
0.21,21235475.56625182
0.2200000000000001,22233278.73499878
0.2300000000000001,23233277.40999915
0.2400000000000001,24234673.51021245
0.2500000000000001,25236968.78242651
0.2600000000000001,26239842.62325875
0.2700000000000001,27243082.6639729
0.2800000000000001,28246544.39554431
0.2900000000000001,29250127.04791057
0.3000000000000001,30253758.78232069
0.3100000000000001,31257387.35920146
0.3200000000000001,32260974.10926513
0.3300000000000001,33264489.94819853
0.3400000000000001,34267912.68568289
0.3500000000000001,35271225.17254493
0.3600000000000002,36274414.00188358
0.3700000000000002,37277468.58340287
0.3800000000000002,38280380.47367002
0.3900000000000002,39283142.88460588
0.4000000000000002,40285750.31823737
0.4100000000000002,41288198.29190236
0.4200000000000002,42290483.12926318
0.4300000000000002,43292601.79970335
0.4400000000000002,44294551.79373989
0.4500000000000002,45296331.02554144
0.4600000000000002,46297937.75591347
0.4700000000000003,47299370.5310838
0.4800000000000003,48300628.13377082
0.4900000000000003,49301709.54351316
0.5000000000000002,50302613.90457257
0.5100000000000002,51303340.49984811
0.5200000000000002,52303888.72936078
0.5300000000000002,53304258.09270441
0.5400000000000003,54304448.17507207
0.5500000000000003,55304458.63659279
0.5600000000000003,56304289.20591532
0.5700000000000003,57303939.67835275
0.5800000000000003,58303409.92708161
0.5900000000000003,59302700.04774463
0.6000000000000003,60302592.29651017
0.6100000000000003,61307633.97238759
0.6200000000000003,62312677.11754347
0.6300000000000003,63317720.28073875
0.6400000000000003,64322763.45028791
0.6500000000000004,65327806.62301921
0.6600000000000004,66332849.7976362
0.6700000000000004,67337892.97342071
0.6800000000000004,68342936.14998688
0.6900000000000004,69347979.32709621
0.7000000000000004,70353022.50459634
0.7100000000000004,71358065.6823664
0.7200000000000004,72363108.86034319
0.7300000000000004,73368152.03849022
0.7400000000000004,74373195.21673618
0.7500000000000004,75378238.39506781
0.7600000000000005,76383281.57346368
0.7700000000000005,77388324.75192648
0.7800000000000005,78393367.93040788
0.7900000000000005,79398411.10891527
0.8000000000000005,80403454.28744361
0.8100000000000005,81408497.46598782
0.8200000000000005,82413540.64454341
0.8300000000000005,83418583.82310741
0.8400000000000005,84423627.00167808
0.8500000000000005,85428670.18025437
0.8600000000000005,86433713.35883382
0.8700000000000006,87438756.53743401
0.8800000000000006,88443799.71600044
0.8900000000000006,89448842.89458604
0.9000000000000006,90453886.07318231
0.9100000000000006,91458929.25175083
0.9200000000000006,92463972.43034977
0.9300000000000006,93469015.60893975
0.9400000000000006,94474058.78752902
0.9500000000000006,95479101.96611875
0.9600000000000006,96484145.14470872
0.9700000000000006,97489188.3232989
0.9800000000000006,98494231.50188917
0.9900000000000007,99499274.68047956
1,100504317.8590699
