Time - Plot 0,Amplitude - Plot 0
0,1.74E-08
1,7.11E-03
2,1.00E-02
3,1.00E-02
4,1.00E-02
5,1.00E-02
6,1.00E-02
7,1.00E-02
8,1.00E-02
9,5.96E-03
10,9.31E-09
11,-4.41E-03
12,-6.52E-03
13,-1.00E-02
14,-1.00E-02
15,-1.00E-02
16,-1.00E-02
17,-1.00E-02
18,-1.00E-02
19,-7.41E-03
20,-7.60E-09
21,1.00E-02
22,1.00E-02
23,1.00E-02
24,1.00E-02
25,1.00E-02
26,1.00E-02
27,1.00E-02
28,1.00E-02
29,1.00E-02
30,3.50E-08
31,-1.00E-02
32,-1.00E-02
33,-1.00E-02
34,-1.00E-02
35,-1.00E-02
36,-1.00E-02
37,-1.00E-02
38,-1.00E-02
39,-1.00E-02
40,-1.60E-07
41,1.00E-02
42,1.00E-02
43,1.00E-02
44,1.00E-02
45,1.00E-02
46,1.00E-02
47,1.00E-02
48,1.00E-02
49,1.00E-02
50,3.86E-08
51,-1.00E-02
52,-1.00E-02
53,-1.00E-02
54,-1.00E-02
55,-1.00E-02
56,-1.00E-02
57,-1.00E-02
58,-1.00E-02
59,-1.00E-02
60,-1.71E-07
61,1.00E-02
62,1.00E-02
63,1.00E-02
64,1.00E-02
65,1.00E-02
66,1.00E-02
67,1.00E-02
68,1.00E-02
69,1.00E-02
70,7.36E-08
71,-1.00E-02
72,-1.00E-02
73,-1.00E-02
74,-1.00E-02
75,-1.00E-02
76,-1.00E-02
77,-1.00E-02
78,-1.00E-02
79,-1.00E-02
80,-1.36E-07
81,1.00E-02
82,1.00E-02
83,1.00E-02
84,1.00E-02
85,1.00E-02
86,1.00E-02
87,1.00E-02
88,1.00E-02
89,1.00E-02
90,7.10E-08
91,-1.00E-02
92,-1.00E-02
93,-1.00E-02
94,-1.00E-02
95,-1.00E-02
96,-1.00E-02
97,-1.00E-02
98,-1.00E-02
99,-1.00E-02
100,-1.41E-07
101,1.00E-02
102,1.00E-02
103,1.00E-02
104,1.00E-02
105,1.00E-02
106,1.00E-02
107,1.00E-02
108,1.00E-02
109,1.00E-02
110,7.86E-08
111,-1.00E-02
112,-1.00E-02
113,-1.00E-02
114,-1.00E-02
115,-1.00E-02
116,-1.00E-02
117,-1.00E-02
118,-1.00E-02
119,-1.00E-02
120,-1.36E-07
121,1.00E-02
122,1.00E-02
123,1.00E-02
124,1.00E-02
125,1.00E-02
126,1.00E-02
127,1.00E-02
128,1.00E-02
129,1.00E-02
130,9.23E-08
131,-1.00E-02
132,-1.00E-02
133,-1.00E-02
134,-1.00E-02
135,-1.00E-02
136,-1.00E-02
137,-1.00E-02
138,-1.00E-02
139,-1.00E-02
140,-1.52E-07
141,1.00E-02
142,1.00E-02
143,1.00E-02
144,1.00E-02
145,1.00E-02
146,1.00E-02
147,1.00E-02
148,1.00E-02
149,1.00E-02
150,9.62E-08
151,-1.00E-02
152,-1.00E-02
153,-1.00E-02
154,-1.00E-02
155,-1.00E-02
156,-1.00E-02
157,-1.00E-02
158,-1.00E-02
159,-1.00E-02
160,-1.17E-07
161,1.00E-02
162,1.00E-02
163,1.00E-02
164,1.00E-02
165,1.00E-02
166,1.00E-02
167,1.00E-02
168,1.00E-02
169,1.00E-02
170,1.07E-07
171,-1.00E-02
172,-1.00E-02
173,-1.00E-02
174,-1.00E-02
175,-1.00E-02
176,-1.00E-02
177,-1.00E-02
178,-1.00E-02
179,-1.00E-02
180,-1.50E-07
181,1.00E-02
182,1.00E-02
183,1.00E-02
184,1.00E-02
185,1.00E-02
186,1.00E-02
187,1.00E-02
188,1.00E-02
189,1.00E-02
190,1.21E-07
191,-1.00E-02
192,-1.00E-02
193,-1.00E-02
194,-1.00E-02
195,-1.00E-02
196,-1.00E-02
197,-1.00E-02
198,-1.00E-02
199,-1.00E-02
200,-1.31E-07
201,1.00E-02
202,1.00E-02
203,1.00E-02
204,1.00E-02
205,1.00E-02
206,1.00E-02
207,1.00E-02
208,1.00E-02
209,1.00E-02
210,1.39E-07
211,-1.00E-02
212,-1.00E-02
213,-1.00E-02
214,-1.00E-02
215,-1.00E-02
216,-1.00E-02
217,-1.00E-02
218,-1.00E-02
219,-1.00E-02
220,-1.14E-07
221,1.00E-02
222,1.00E-02
223,1.00E-02
224,1.00E-02
225,1.00E-02
226,1.00E-02
227,1.00E-02
228,1.00E-02
229,1.00E-02
