Time - Plot 0,Amplitude - Plot 0
0,-3.57E-10
1,6.69E-10
2,7.73E-10
3,7.68E-10
4,6.76E-10
5,5.49E-10
6,2.21E-10
7,-2.13E-10
8,-5.58E-10
9,-8.76E-10
10,-9.57E-10
11,-1.24E-09
12,-1.31E-09
13,-1.33E-09
14,-1.22E-09
15,-1.03E-09
16,-4.79E-10
17,-2.30E-10
18,1.88E-10
19,4.57E-10
20,6.55E-10
21,1.96E-09
22,1.85E-09
23,2.40E-09
24,2.70E-08
25,2.85E-09
26,1.75E-09
27,5.66E-10
28,-9.22E-10
29,-1.53E-09
30,-1.96E-09
31,-2.42E-09
32,-2.83E-09
33,-3.58E-09
34,-3.89E-09
35,-3.38E-09
36,-2.11E-09
37,-6.59E-10
38,5.50E-10
39,8.90E-10
40,1.38E-09
41,2.89E-09
42,3.57E-09
43,4.89E-09
44,7.53E-09
45,7.11E-09
46,4.89E-09
47,1.61E-09
48,-1.04E-09
49,-2.20E-09
50,-2.92E-09
51,-3.68E-09
52,-4.28E-09
53,-6.00E-09
54,-6.82E-09
55,-5.89E-09
56,-3.96E-09
57,-1.64E-09
58,5.75E-10
59,1.84E-09
60,2.40E-09
61,4.01E-09
62,5.75E-09
63,3.33E-08
64,1.93E-08
65,3.23E-08
66,2.71E-08
67,1.27E-08
68,1.17E-09
69,-3.05E-09
70,-3.98E-09
71,-5.49E-09
72,-7.81E-09
73,-9.49E-09
74,-9.50E-09
75,-7.93E-09
76,-5.20E-09
77,-1.93E-09
78,-2.66E-09
79,2.27E-09
80,3.50E-09
81,5.46E-09
82,7.63E-09
83,1.95E-08
84,4.31E-08
85,7.64E-08
86,8.57E-08
87,9.98E-08
88,2.77E-06
89,1.24E-08
90,-5.98E-09
91,-8.79E-09
92,-1.38E-08
93,-1.67E-08
94,-1.72E-08
95,-1.25E-08
96,-8.32E-09
97,-3.29E-09
98,1.16E-09
99,3.66E-09
100,5.02E-09
101,7.34E-09
102,1.30E-08
103,1.01E-07
104,1.49E-07
105,1.74E-07
106,1.24E-07
107,3.01E-07
108,7.47E-06
109,2.79E-07
110,-6.52E-09
111,-2.93E-08
112,-1.35E-07
113,-1.80E-08
114,-1.85E-08
115,-1.53E-08
116,-9.57E-09
117,-3.73E-09
118,1.09E-09
119,5.08E-09
120,7.04E-09
121,9.00E-09
122,3.12E-08
123,5.62E-08
124,1.06E-07
125,2.37E-07
126,5.26E-07
127,6.03E-07
128,2.67E-07
129,7.63E-08
130,-1.05E-08
131,-1.61E-08
132,-1.96E-08
133,-2.39E-08
134,-2.51E-08
135,-2.61E-08
136,-1.57E-08
137,-6.73E-09
138,1.32E-09
139,6.89E-09
140,9.79E-09
141,1.32E-08
142,4.07E-08
143,9.50E-08
144,1.32E-07
145,3.80E-07
146,6.75E-07
147,2.54E-07
148,8.77E-08
149,1.85E-08
150,-1.37E-08
151,-2.40E-08
152,-4.21E-08
153,-3.21E-07
154,-5.93E-08
155,-5.36E-08
156,-2.39E-07
157,-4.69E-07
158,-8.22E-08
159,-5.37E-09
160,1.28E-08
161,2.72E-08
162,1.08E-07
163,2.58E-07
164,1.12E-06
165,2.75E-06
166,3.02E-06
167,1.32E-06
168,5.25E-07
169,4.27E-08
170,-1.77E-08
171,-2.90E-08
172,-9.94E-08
173,-5.00E-07
174,-1.80E-06
175,-1.20E-06
176,-1.01E-06
177,-4.65E-07
178,-1.38E-07
179,1.91E-09
180,1.74E-08
181,2.74E-08
182,4.39E-07
183,7.75E-07
184,1.22E-06
185,1.12E-06
186,1.05E-06
187,3.59E-07
188,2.39E-05
189,9.03E-06
190,-9.88E-09
191,-3.45E-08
192,-1.11E-07
193,-1.63E-07
194,-2.38E-07
195,-2.19E-07
196,-9.47E-08
197,-1.11E-07
198,-3.82E-08
199,6.00E-09
200,2.24E-08
201,2.66E-08
202,1.39E-07
203,5.72E-07
204,1.79E-06
205,1.87E-06
206,2.43E-06
207,1.22E-06
208,6.66E-07
209,8.85E-07
210,-1.74E-08
211,-1.60E-07
212,-9.58E-08
213,-7.39E-08
214,-1.18E-07
215,-1.26E-07
216,-1.10E-07
217,-7.14E-08
218,-1.36E-08
219,1.64E-08
220,2.88E-08
221,3.78E-08
222,2.13E-07
223,4.41E-07
224,1.62E-06
225,2.43E-06
226,2.37E-06
227,2.22E-06
228,1.48E-06
229,1.26E-07
230,-3.41E-08
231,-5.38E-08
232,-7.49E-08
233,-1.20E-07
234,-2.67E-07
235,-3.34E-07
236,-1.08E-06
237,-1.05E-06
238,-8.41E-08
239,1.50E-08
240,3.61E-08
241,4.89E-08
242,3.08E-07
243,1.56E-06
244,2.20E-06
245,5.25E-06
246,3.93E-06
247,2.52E-06
248,1.14E-06
249,1.99E-07
250,-3.87E-08
251,-6.68E-08
252,-1.08E-07
253,-1.53E-07
254,-4.61E-07
255,-3.42E-06
256,-3.89E-07
257,-1.35E-07
258,-1.23E-07
259,-4.18E-09
260,4.34E-08
261,6.67E-08
262,5.12E-07
263,1.89E-06
264,5.18E-06
265,7.38E-06
266,4.72E-06
267,3.80E-06
268,1.69E-06
269,2.38E-07
270,-2.68E-08
271,-1.62E-07
272,-2.86E-07
273,-7.18E-07
274,-8.12E-07
275,-4.07E-07
276,-2.64E-07
277,-1.34E-07
278,-2.61E-08
279,2.75E-08
280,5.41E-08
281,1.02E-07
282,8.25E-07
