Time - Plot 0,Amplitude - Plot 0
0,-1.23E-05
1,0.515047
2,0.979695
3,1.34832
4,1.58498
5,1.66662
6,1.58498
7,1.34832
8,0.979699
9,0.51505
10,-8.98E-06
11,-0.51511
12,-0.979798
13,-1.34842
14,-1.58504
15,-1.66668
16,-1.58504
17,-1.34842
18,-0.979799
19,-0.51511
20,-2.44E-05
21,1.03011
22,1.95922
23,2.69638
24,3.17028
25,3.33411
26,3.17028
27,2.69639
28,1.95922
29,1.03011
30,-7.99E-06
31,-1.03017
32,-1.95929
33,-2.69692
34,-3.17082
35,-3.33467
36,-3.17082
37,-2.69691
38,-1.95929
39,-1.03017
40,-2.42E-05
41,1.54504
42,2.93925
43,4.04602
44,4.7559
45,5.00016
46,4.75591
47,4.04601
48,2.93924
49,1.54505
50,-9.97E-06
51,-1.5451
52,-2.93979
53,-4.04693
54,-4.75652
55,-5.00078
56,-4.75652
57,-4.04696
58,-2.9398
59,-1.5451
60,-2.27E-05
61,2.06002
62,3.91971
63,5.39342
64,6.34144
65,6.66775
66,6.34148
67,5.39345
68,3.91972
69,2.06002
70,-1.00E-05
71,-2.06005
72,-3.9203
73,-5.39405
74,-6.34211
75,-6.66861
76,-6.34209
77,-5.3941
78,-3.92032
79,-2.06005
80,-2.25E-05
81,2.57489
82,4.89816
83,6.74332
84,7.92511
85,8.33371
86,7.92513
87,6.74319
88,4.89816
89,2.57488
90,-7.61E-06
91,-2.57537
92,-4.89876
93,-6.74436
94,-7.92586
95,-8.33472
96,-7.92587
97,-6.74395
98,-4.89877
99,-2.57537
100,-2.30E-05
101,3.09034
102,5.87843
103,8.08999
104,9.5113
105,10.0003
106,9.51156
107,8.08989
108,5.8783
109,3.09034
110,-7.61E-06
111,-3.09087
112,-5.87908
113,-8.09055
114,-9.5121
115,-10.0011
116,-9.512
117,-8.09054
118,-5.87908
119,-3.09086
120,-2.22E-05
121,3.6058
122,6.85837
123,9.43935
124,11.096
125,11.6674
126,11.0961
127,9.43928
128,6.85833
129,3.60577
130,-8.22E-06
131,-3.60636
132,-6.85938
133,-9.44044
134,-11.0968
135,-11.6682
136,-11.0967
137,-9.44042
138,-6.85935
139,-3.60633
140,-2.26E-05
141,4.12092
142,7.83684
143,10.7867
144,12.681
145,13.3322
146,12.681
147,10.7869
148,7.83687
149,4.12092
150,-5.26E-06
151,-4.12182
152,-7.83754
153,-10.7874
154,-12.6816
155,-13.3328
156,-12.6817
157,-10.7874
158,-7.83756
159,-4.12182
160,-2.26E-05
161,4.63591
162,8.81771
163,12.1358
164,14.2661
165,15
166,14.2661
167,12.1355
168,8.8179
169,4.63589
170,-7.76E-06
171,-4.63649
172,-8.81838
173,-12.1365
174,-14.2666
175,-15.001
176,-14.2673
177,-12.1365
178,-8.81838
179,-4.63648
180,-2.30E-05
181,5.15059
182,9.79706
183,13.4747
184,15.8497
185,16.6663
186,15.8496
187,13.4833
188,9.79719
189,5.15059
190,-6.24E-06
191,-5.1512
192,-9.79779
193,-13.4839
194,-15.8504
195,-16.6668
196,-15.8503
197,-13.484
198,-9.7978
199,-5.15117
200,-2.23E-05
201,5.6658
202,10.7756
203,14.8322
204,17.4358
205,18.3316
206,17.4358
207,14.8324
208,10.7756
209,5.66577
210,-8.30E-06
211,-5.66642
212,-10.7766
213,-14.833
214,-17.4366
215,-18.3322
216,-17.4366
217,-14.8325
218,-10.7765
219,-5.66639
220,-2.14E-05
221,6.18125
222,11.7568
223,16.1788
224,18.3394
225,19.9999
226,19.0195
227,16.1788
228,11.7567
229,6.18128
230,-8.07E-06
231,-6.18188
232,-11.7574
233,-16.1795
234,-19.0206
235,-20.0006
236,-19.0202
237,-16.1795
238,-11.7573
239,-6.18185
240,-2.11E-05
241,6.69659
242,12.735
243,17.5286
244,20.6049
245,21.6697
246,20.6051
247,17.5287
248,12.735
249,6.6966
250,-1.10E-05
251,-6.69757
252,-12.7356
253,-17.5295
254,-20.6057
255,-21.6924
256,-20.6058
257,-17.5294
258,-12.7356
259,-6.6975
260,-2.02E-05
261,7.21119
262,13.7155
263,18.8751
264,22.2299
265,23.3682
266,22.231
267,18.8753
268,13.7149
269,7.2112
270,-8.07E-06
271,-7.21184
272,-13.7153
273,-18.8761
274,-22.249
275,-23.4034
276,-22.2486
277,-18.8757
278,-13.7152
279,-7.21177
280,-1.90E-05
281,7.72544
282,14.6956
283,20.2248
284,23.8178
285,25.0229
286,23.8176
287,20.2246
288,14.6957
289,7.72536
290,-9.74E-06
291,-7.72607
292,-14.6962
293,-20.2251
294,-23.8602
295,-25.0417
296,-23.8571
297,-20.2254
298,-14.6962
299,-7.72601
