output noise; V**2 / Hz X,output noise; V**2 / Hz Y
1,1.071087995273156e-06
1.059253725177289,1.01390411901595e-06
1.122018454301963,9.600427198821558e-07
1.188502227437018,9.093086785548767e-07
1.258925411794167,8.615183645012651e-07
1.333521432163324,8.164989510827128e-07
1.412537544622754,7.740877713246764e-07
1.496235656094433,7.341317118782568e-07
1.584893192461113,6.964866428531434e-07
1.67880401812256,6.610168813382706e-07
1.778279410038923,6.275946865563459e-07
1.883649089489801,5.960997847192504e-07
1.99526231496888,5.664189217654854e-07
2.113489039836647,5.384454422673965e-07
2.238721138568339,5.120788928958169e-07
2.371373705661655,4.872246489248966e-07
2.51188643150958,4.637935623476469e-07
2.66072505979881,4.417016302573991e-07
2.818382931264454,4.208696822288447e-07
2.98538261891796,4.012230855074643e-07
3.162277660168379,3.826914668882105e-07
3.349654391578276,3.652084502323153e-07
3.548133892335754,3.487114086377114e-07
3.758374042884441,3.33141230277089e-07
3.981071705534972,3.184420974472269e-07
4.216965034285822,3.045612770305691e-07
4.466835921509631,2.91448922994376e-07
4.731512589614804,2.790578893001552e-07
5.011872336272723,2.673435527113645e-07
5.308844442309884,2.562636457563114e-07
5.623413251903491,2.457780982832367e-07
5.956621435290105,2.358488881159309e-07
6.309573444801933,2.264399001759625e-07
6.683439175686147,2.175167942619286e-07
7.07945784384138,2.090468807929245e-07
7.49894209332456,2.009989942806436e-07
7.943282347242817,1.933434322334274e-07
8.413951416451953,1.860517885380264e-07
8.912509381337458,1.790969128362072e-07
9.440608762859236,1.724528215085122e-07
10,1.660946325862164e-07
10.59253725177289,1.599985134167272e-07
11.22018454301964,1.541416419495344e-07
11.88502227437019,1.485021843346371e-07
12.58925411794168,1.430592811258595e-07
13.33521432163325,1.377930906579785e-07
14.12537544622755,1.326847745427552e-07
14.96235656094434,1.277165816272782e-07
15.84893192461114,1.228719134010824e-07
16.78804018122561,1.181354113382836e-07
17.78279410038923,1.13493092641211e-07
18.83649089489801,1.08932441001076e-07
19.9526231496888,1.044425640524343e-07
21.13489039836647,1.000143484807555e-07
22.3872113856834,9.564056286605456e-08
23.71373705661656,9.131601828383327e-08
25.11886431509581,8.703762920531424e-08
26.60725059798811,8.280450158891311e-08
28.18382931264455,7.861792381416277e-08
29.85382618917961,7.448131789022794e-08
31.6227766016838,7.040011737490265e-08
33.49654391578277,6.638157222818849e-08
35.48133892335755,6.243448156397224e-08
37.58374042884443,5.856885877266485e-08
39.81071705534974,5.479555296457196e-08
42.16965034285824,5.112581310279474e-08
44.66835921509633,4.757086360486806e-08
47.31512589614807,4.414146661911121e-08
50.11872336272725,4.084753038547988e-08
53.08844442309886,3.769775480938267e-08
56.23413251903494,3.469936067655873e-08
59.56621435290108,3.185788528137638e-08
63.09573444801936,2.917706959556732e-08
66.83439175686149,2.665882162908893e-08
70.79457843841382,2.430326002436133e-08
74.98942093324561,2.210881775652789e-08
79.43282347242818,2.007239989123372e-08
84.13951416451954,1.818957568810699e-08
89.12509381337459,1.645479190833443e-08
94.40608762859237,1.486159578821752e-08
100,1.340285472616102e-08
105.9253725177289,1.207096286644771e-08
112.2018454301964,1.085803147962977e-08
118.8502227437019,9.756055477215632e-09
125.8925411794168,8.757056528535145e-09
133.3521432163325,7.853200709081448e-09
141.2537544622755,7.036893005609972e-09
149.6235656094434,6.300848967409293e-09
158.4893192461114,5.638146899717337e-09
167.8804018122561,5.042262883215721e-09
177.8279410038924,4.507090859178651e-09
188.3649089489801,4.026951042620775e-09
199.526231496888,3.596588508285102e-09
211.3489039836648,3.211164377885469e-09
223.8721138568341,2.86624136306036e-09
237.1373705661656,2.557765283789094e-09
251.1886431509581,2.282043934554305e-09
266.0725059798811,2.035724264490169e-09
281.8382931264455,1.81576883345889e-09
298.5382618917961,1.619432148235022e-09
316.2277660168381,1.444237403747836e-09
334.9654391578279,1.287953993880882e-09
354.8133892335757,1.148576039592611e-09
375.8374042884444,1.024302130683903e-09
398.1071705534974,9.135163405858627e-10
421.6965034285824,8.147706046938262e-10
446.6835921509633,7.267684265132964e-10
473.1512589614807,6.483499166248834e-10
501.1872336272725,5.784780982915098e-10
530.8844442309885,5.162264295262443e-10
562.3413251903493,4.607674672241853e-10
595.6621435290107,4.11362595377031e-10
630.9573444801935,3.673527428587781e-10
668.3439175686149,3.281500114736925e-10
707.9457843841382,2.932301398604599e-10
749.8942093324561,2.621257287303347e-10
794.3282347242817,2.344201597971502e-10
841.3951416451954,2.097421443236658e-10
891.2509381337459,1.877608394597423e-10
944.0608762859238,1.681814790739019e-10
1000,1.507414665278938e-10
1059.253725177289,1.352068830895005e-10
1122.018454301964,1.213693701202642e-10
1188.502227437019,1.090433458189033e-10
1258.925411794168,9.806352202680037e-11
1333.521432163325,8.828268935652595e-11
1412.537544622755,7.956974222174524e-11
1496.235656094434,7.180791856297738e-11
1584.893192461114,6.489323098329447e-11
1678.804018122562,5.873306869714991e-11
1778.279410038924,5.324495218895572e-11
1883.649089489802,4.835542374946254e-11
1995.262314968881,4.399905937668258e-11
2113.489039836648,4.011758858753253e-11
2238.721138568341,3.665911068499796e-11
2371.373705661657,3.357739672576369e-11
2511.886431509582,3.083126792842229e-11
2660.725059798812,2.838404203874823e-11
2818.382931264456,2.620304058401633e-11
2985.382618917962,2.425914948596907e-11
3162.277660168382,2.252642879072369e-11
3349.65439157828,2.098176355589416e-11
3548.133892335758,1.960455426007217e-11
3758.374042884445,1.837644036642922e-11
3981.071705534976,1.728105410148584e-11
4216.965034285826,1.630380116568858e-11
4466.835921509634,1.5431665144713e-11
4731.512589614808,1.465303325540748e-11
5011.872336272727,1.395754089041065e-11
5308.844442309888,1.333593293692784e-11
5623.413251903496,1.277993998886984e-11
5956.62143529011,1.228216781315874e-11
6309.573444801938,1.183599861955452e-11
6683.439175686151,1.14355023610398e-11
7079.457843841385,1.107535821777137e-11
7498.942093324564,1.075078313608529e-11
7943.282347242821,1.045746810997908e-11
8413.951416451957,1.019152145920497e-11
8912.509381337462,9.949416603739282e-12
9440.608762859241,9.727945807125478e-12
10000.00000000001,9.524177954365893e-12
10592.5372517729,9.335420352681357e-12
11220.18454301964,9.159184043294544e-12
11885.02227437019,8.993152356759463e-12
12589.25411794168,8.83515234633786e-12
13335.21432163325,8.683129064084512e-12
14125.37544622756,8.535122568297632e-12
14962.35656094435,8.389247820503699e-12
15848.93192461115,8.243677619252847e-12
16788.04018122562,8.096629177262118e-12
17782.79410038924,7.946354839392144e-12
18836.49089489802,7.791137884176984e-12
19952.62314968881,7.629294599741182e-12
21134.89039836648,7.45918394076291e-12
22387.21138568341,7.279226362425371e-12
23713.73705661657,7.087933359905071e-12
25118.86431509582,6.883949436993421e-12
26607.25059798812,6.666106801814003e-12
28183.82931264456,6.433493535611702e-12
29853.82618917962,6.185533001888468e-12
31622.77660168382,5.922070986345715e-12
33496.54391578279,5.643463447161219e-12
35481.33892335757,5.350655605764281e-12
37583.74042884444,5.045239232176788e-12
39810.71705534976,4.729474044635361e-12
42169.65034285826,4.406259426645839e-12
44668.35921509634,4.079046470900474e-12
47315.12589614809,3.751688228143271e-12
50118.72336272727,3.428236713399004e-12
53088.44442309887,3.112706616961374e-12
