/Idpi/M7/S (vgsp_il=0.4) X,/Idpi/M7/S (vgsp_il=0.4) Y,/Idpi/M7/S (vgsp_il=0.4519324) X,/Idpi/M7/S (vgsp_il=0.4519324) Y,/Idpi/M7/S (vgsp_il=0.5106072) X,/Idpi/M7/S (vgsp_il=0.5106072) Y,/Idpi/M7/S (vgsp_il=0.5768998) X,/Idpi/M7/S (vgsp_il=0.5768998) Y,/Idpi/M7/S (vgsp_il=0.6517993) X,/Idpi/M7/S (vgsp_il=0.6517993) Y,/Idpi/M7/S (vgsp_il=0.736423) X,/Idpi/M7/S (vgsp_il=0.736423) Y,/Idpi/M7/S (vgsp_il=0.8320335) X,/Idpi/M7/S (vgsp_il=0.8320335) Y,/Idpi/M7/S (vgsp_il=0.9400572) X,/Idpi/M7/S (vgsp_il=0.9400572) Y,/Idpi/M7/S (vgsp_il=1.062106) X,/Idpi/M7/S (vgsp_il=1.062106) Y,/Idpi/M7/S (vgsp_il=1.2) X,/Idpi/M7/S (vgsp_il=1.2) Y
0,1.906594845114801e-12,0,1.906630827641812e-12,0,1.906718037929999e-12,0,1.90703677751803e-12,0,1.909062803229145e-12,0,1.930817334458705e-12,0,2.281634177924082e-12,0,1.175028391647575e-11,0,1.812921639948718e-09,0,2.832231237431844e-09
0.001,1.906594845076591e-12,0.001,1.9066308278115e-12,0.001,1.906718037928245e-12,0.001,1.907036777518062e-12,0.001,1.909062803218829e-12,0.001,1.930817334451717e-12,0.001,2.281634177971167e-12,0.001,1.199455010937538e-11,0.001,1.81291716029705e-09,0.001,2.832231237382786e-09
0.003,1.90659484509733e-12,0.003,1.906630827794089e-12,0.003,1.906718037929137e-12,0.003,1.907036777518092e-12,0.003,1.909062803227578e-12,0.003,1.930817334453724e-12,0.003,2.281634177976138e-12,0.003,1.20818545924237e-11,0.003,1.812917438257549e-09,0.003,2.832231237243894e-09
0.006,1.906594845103082e-12,0.006,1.906630827794236e-12,0.006,1.9067180379292e-12,0.006,1.907036777518066e-12,0.006,1.909062803229955e-12,0.006,1.930817334455113e-12,0.006,2.281634177979126e-12,0.006,1.216252569847792e-11,0.006,1.812917971042603e-09,0.006,2.832231236980788e-09
0.006000000208854167,1.906585456509084e-12,0.006000000208794317,1.90663082709799e-12,0.006000000208741345,1.906718022701744e-12,0.006000000208694459,1.907036778445047e-12,0.006000000208652961,1.909062798944679e-12,0.006000000208616232,1.930817322385065e-12,0.006000000208583724,2.281634177869617e-12,0.006000000208554951,1.21629187836626e-11,0.006000000208529485,1.812917971043495e-09,0.006000000208506944,2.832231236921931e-09
0.0060000006265625,1.906599088341117e-12,0.006000000626382951,1.906630827129466e-12,0.006000000626224034,1.906718045982313e-12,0.006000000626083378,1.907036778215669e-12,0.006000000625958884,1.909062803550211e-12,0.006000000625848696,1.930817340636857e-12,0.006000000625751172,2.281634179233744e-12,0.006000000625664853,1.216292052645793e-11,0.006000000625588454,1.812917971121257e-09,0.006000000625520833,2.832231237000667e-09
0.006000001461979166,1.90659574124131e-12,0.006000001461560218,1.906630828634415e-12,0.006000001461189412,1.906718040090812e-12,0.006000001460861215,1.90703677784869e-12,0.006000001460570729,1.909062803511596e-12,0.006000001460313624,1.930817334712714e-12,0.006000001460086069,2.281634178090364e-12,0.006000001459884658,1.216291985045678e-11,0.006000001459706391,1.812917971098891e-09,0.006000001459548611,2.832231236989513e-09
0.006000002176273923,1.906594955966963e-12,0.006000002175054484,1.906630836139065e-12,0.006000002173974311,1.906718044139977e-12,0.006000002173017579,1.907036782737298e-12,0.006000002172170235,1.909062806197998e-12,0.006000002171419822,1.930817335273431e-12,0.006000002170755289,2.281634179488551e-12,0.006000002170166814,1.216291986459255e-11,0.006000002169645706,1.812917971097944e-09,0.006000002169184255,2.832231236983458e-09
0.006000003096605545,1.906595058475461e-12,0.006000003094193149,1.906630939117885e-12,0.006000003092055955,1.906718139147188e-12,0.006000003090162758,1.907036850587714e-12,0.006000003088485837,1.909062845014303e-12,0.006000003087000602,1.930817364408649e-12,0.006000003085685231,2.281634205469436e-12,0.006000003084520333,1.216291990540059e-11,0.006000003083488736,1.812917971130102e-09,0.006000003082575203,2.832231237017027e-09
0.006000004365631513,1.906596756987241e-12,0.006000004361446544,1.906632676662046e-12,0.006000004357738886,1.906719734400532e-12,0.006000004354454431,1.90703799268964e-12,0.006000004351545118,1.909063494896969e-12,0.006000004348968301,1.93081783026058e-12,0.00600000434668613,2.281634642977778e-12,0.006000004344664987,1.21629203895287e-11,0.006000004342875087,1.812917971679454e-09,0.006000004341289999,2.832231237627139e-09
