/cix_pulse<0> (vgsp_il=0.4) X,/cix_pulse<0> (vgsp_il=0.4) Y,/cix_pulse<0> (vgsp_il=0.4519324) X,/cix_pulse<0> (vgsp_il=0.4519324) Y,/cix_pulse<0> (vgsp_il=0.5106072) X,/cix_pulse<0> (vgsp_il=0.5106072) Y,/cix_pulse<0> (vgsp_il=0.5768998) X,/cix_pulse<0> (vgsp_il=0.5768998) Y,/cix_pulse<0> (vgsp_il=0.6517993) X,/cix_pulse<0> (vgsp_il=0.6517993) Y,/cix_pulse<0> (vgsp_il=0.736423) X,/cix_pulse<0> (vgsp_il=0.736423) Y,/cix_pulse<0> (vgsp_il=0.8320335) X,/cix_pulse<0> (vgsp_il=0.8320335) Y,/cix_pulse<0> (vgsp_il=0.9400572) X,/cix_pulse<0> (vgsp_il=0.9400572) Y,/cix_pulse<0> (vgsp_il=1.062106) X,/cix_pulse<0> (vgsp_il=1.062106) Y,/cix_pulse<0> (vgsp_il=1.2) X,/cix_pulse<0> (vgsp_il=1.2) Y
0,5.033276842622659e-06,0,5.033276570067709e-06,0,5.033275601316966e-06,0,5.033271163899206e-06,0,5.033245994377103e-06,0,5.033111513536311e-06,0,5.03284994722382e-06,0,5.032668975518326e-06,0,5.03264713213577e-06,0,5.032646561816329e-06
0.001,5.033276842613427e-06,0.001,5.033276570401513e-06,0.001,5.033275601333407e-06,0.001,5.033271163906627e-06,0.001,5.033245994319217e-06,0.001,5.033111513457671e-06,0.001,5.032850667373845e-06,0.001,5.03266897554919e-06,0.001,5.032647132128067e-06,0.001,5.032649930975479e-06
0.003,5.033276842615325e-06,0.003,5.033276570342081e-06,0.003,5.033275601334758e-06,0.003,5.033271163905362e-06,0.003,5.03324599429267e-06,0.003,5.033111513353661e-06,0.003,5.032849859483974e-06,0.003,5.032668975515618e-06,0.003,5.032647132128685e-06,0.003,5.032646802219788e-06
0.006,5.033276842658202e-06,0.006,5.033276570331741e-06,0.006,5.033275601319487e-06,0.006,5.033271163884992e-06,0.006,5.033245994296158e-06,0.006,5.033111513261131e-06,0.006,5.032849807199652e-06,0.006,5.032668975520015e-06,0.006,5.032647132102578e-06,0.006,5.03264635077272e-06
0.006000000208854167,5.033276842656909e-06,0.006000000208794317,5.033276570334194e-06,0.006000000208741345,5.033275601327185e-06,0.006000000208694459,5.033271163881166e-06,0.006000000208652961,5.033245994293972e-06,0.006000000208616232,5.033111513269671e-06,0.006000000208583724,5.032849898371769e-06,0.006000000208554951,5.032668975533755e-06,0.006000000208529485,5.032647132138936e-06,0.006000000208506944,5.032647487145736e-06
0.0060000006265625,5.033276842625787e-06,0.006000000626382951,5.03327657029328e-06,0.006000000626224034,5.033275601337402e-06,0.006000000626083378,5.033271163937738e-06,0.006000000625958884,5.033245994290408e-06,0.006000000625848696,5.033111513275633e-06,0.006000000625751172,5.032850056457415e-06,0.006000000625664853,5.032668975529941e-06,0.006000000625588454,5.032647132188165e-06,0.006000000625520833,5.032649514048754e-06
0.006000001461979166,5.033276842562645e-06,0.006000001461560218,5.033276570358225e-06,0.006000001461189412,5.033275601303492e-06,0.006000001460861215,5.033271164007862e-06,0.006000001460570729,5.033245994317653e-06,0.006000001460313624,5.033111513261804e-06,0.006000001460086069,5.032850285902934e-06,0.006000001459884658,5.032668975487163e-06,0.006000001459706391,5.032647132166147e-06,0.006000001459548611,5.032652532473439e-06
0.006000002176273923,5.033276842486894e-06,0.006000002175054484,5.033276570324319e-06,0.006000002173974311,5.033275601277354e-06,0.006000002173017579,5.033271163977002e-06,0.006000002172170235,5.033245994236786e-06,0.006000002171419822,5.033111513223932e-06,0.006000002170755289,5.032850410281785e-06,0.006000002170166814,5.032668975428011e-06,0.006000002169645706,5.032647132034004e-06,0.006000002169184255,5.032654212517256e-06
0.006000003096605545,5.033276841766554e-06,0.006000003094193149,5.033276569547051e-06,0.006000003092055955,5.033275600493427e-06,0.006000003090162758,5.033271163272789e-06,0.006000003088485837,5.0332459935542e-06,0.006000003087000602,5.033111512431504e-06,0.006000003085685231,5.03285050579914e-06,0.006000003084520333,5.032668974410731e-06,0.006000003083488736,5.03264713085562e-06,0.006000003082575203,5.032655539737336e-06
0.006000004365631513,5.03327682854764e-06,0.006000004361446544,5.033276555895332e-06,0.006000004357738886,5.033275587025597e-06,0.006000004354454431,5.033271150300417e-06,0.006000004351545118,5.03324598065779e-06,0.006000004348968301,5.033111498202942e-06,0.00600000434668613,5.032850555773703e-06,0.006000004344664987,5.03266895627095e-06,0.006000004342875087,5.03264711016548e-06,0.006000004341289999,5.032656442495067e-06
