Values ,histogram2D(_statGetWaveform( "VREFL_cross_HtoL" nil ?resDbFile axlGetHistoryResults(axlGetCurrentHistory(_vivaGetSessionName())) ?testName "spike_enc:tb_lcadc:1" ?filtPointsList "" ) 10 "standard" "stddev" t)
-14.14E-3,1
-12.05E-3,1
-9.811E-3,6
-9.637E-3,8
-9.489E-3,5
-9.476E-3,1
-9.372E-3,4
-9.084E-3,7
-9.031E-3,2
-8.740E-3,3
-8.488E-3,9
-8.029E-3,4
-8.020E-3,11
-7.617E-3,16
-7.460E-3,15
-7.427E-3,5
-7.381E-3,19
-7.259E-3,2
-7.190E-3,6
-7.185E-3,3
-7.149E-3,10
-7.136E-3,7
-7.029E-3,21
-6.909E-3,17
-6.839E-3,20
-6.778E-3,22
-6.759E-3,14
-6.623E-3,18
-6.505E-3,8
-6.387E-3,9
-6.320E-3,13
-6.211E-3,1
-6.099E-3,12
-6.039E-3,9
-5.958E-3,5
-5.943E-3,22
-5.808E-3,14
-5.622E-3,15
-5.400E-3,24
-5.140E-3,23
-5.052E-3,7
-5.004E-3,8
-4.989E-3,1
-4.982E-3,13
-4.976E-3,17
-4.972E-3,21
-4.962E-3,3
-4.953E-3,6
-4.895E-3,11
-4.779E-3,16
-4.762E-3,2
-4.538E-3,18
-4.495E-3,25
-4.425E-3,19
-4.369E-3,4
-4.354E-3,10
-4.318E-3,20
-4.195E-3,12
-3.961E-3,7
-3.939E-3,39
-3.857E-3,45
-3.801E-3,10
-3.797E-3,6
-3.735E-3,1
-3.693E-3,36
-3.646E-3,32
-3.619E-3,17
-3.583E-3,25
-3.539E-3,38
-3.496E-3,18
-3.486E-3,19
-3.448E-3,28
-3.429E-3,22
-3.276E-3,24
-3.268E-3,5
-3.260E-3,8
-3.191E-3,44
-3.165E-3,14
-3.164E-3,31
-3.150E-3,15
-3.110E-3,21
-3.095E-3,27
-3.036E-3,20
-3.036E-3,41
-3.034E-3,26
-2.924E-3,11
-2.923E-3,16
-2.919E-3,2
-2.858E-3,33
-2.777E-3,46
-2.754E-3,35
-2.707E-3,23
-2.694E-3,34
-2.667E-3,4
-2.460E-3,30
-2.442E-3,9
-2.328E-3,13
-2.282E-3,37
-2.271E-3,3
-2.223E-3,43
-2.206E-3,42
-2.194E-3,40
-2.076E-3,29
-2.062E-3,12
-2.059E-3,46
-2.059E-3,32
-2.057E-3,9
-2.033E-3,30
-1.923E-3,29
-1.890E-3,36
-1.789E-3,44
-1.757E-3,21
-1.704E-3,5
-1.672E-3,23
-1.656E-3,24
-1.622E-3,42
-1.515E-3,33
-1.498E-3,10
-1.418E-3,1
-1.331E-3,39
-1.263E-3,34
-1.247E-3,4
-1.096E-3,37
-1.051E-3,38
-1.047E-3,15
-992.7E-6,16
-958.2E-6,25
-900.0E-6,20
-868.8E-6,19
-862.2E-6,18
-853.2E-6,17
-824.0E-6,3
-820.1E-6,45
-783.8E-6,26
-648.5E-6,7
-631.7E-6,35
-611.9E-6,14
-473.4E-6,2
-428.4E-6,41
-344.6E-6,40
-323.6E-6,8
-290.2E-6,6
-270.9E-6,22
-250.8E-6,27
-202.0E-6,11
-195.6E-6,28
-146.6E-6,13
-113.5E-6,12
-102.2E-6,43
-72.26E-6,31
-48.47E-6,8
-40.30E-6,26
75.90E-6,13
164.9E-6,5
211.6E-6,15
227.2E-6,18
260.7E-6,16
278.9E-6,21
280.2E-6,19
398.2E-6,25
403.3E-6,20
444.4E-6,28
507.0E-6,9
602.0E-6,6
628.3E-6,17
638.8E-6,30
691.6E-6,4
697.4E-6,3
699.4E-6,2
778.3E-6,31
847.4E-6,1
877.1E-6,29
884.1E-6,23
991.3E-6,24
1.271E-3,10
1.498E-3,11
1.578E-3,7
1.626E-3,14
1.738E-3,12
1.821E-3,27
1.845E-3,22
1.993E-3,7
2.142E-3,11
2.200E-3,1
2.390E-3,8
2.481E-3,3
2.710E-3,5
2.771E-3,9
2.814E-3,12
3.027E-3,4
3.090E-3,6
3.410E-3,2
3.720E-3,13
3.757E-3,10
4.083E-3,5
4.100E-3,2
4.199E-3,6
4.334E-3,3
4.501E-3,4
5.991E-3,1
