Values ,histogram2D(_statGetWaveform( "Rv2i_250mV" nil ?resDbFile axlGetHistoryResults(axlGetCurrentHistory(_vivaGetSessionName())) ?testName "spike_enc:tb_pos_v2i_updated:1" ?filtPointsList "" ) 10 "standard" "stddev" t)
2.043E6,1
2.064E6,2
2.066E6,4
2.066E6,7
2.066E6,5
2.067E6,6
2.068E6,3
2.069E6,1
2.070E6,3
2.073E6,8
2.074E6,9
2.075E6,5
2.076E6,7
2.077E6,6
2.077E6,4
2.079E6,10
2.080E6,2
2.080E6,1
2.083E6,27
2.084E6,22
2.085E6,21
2.085E6,8
2.086E6,31
2.086E6,13
2.087E6,14
2.088E6,1
2.088E6,20
2.088E6,29
2.088E6,28
2.089E6,6
2.089E6,5
2.089E6,11
2.090E6,19
2.090E6,10
2.091E6,23
2.093E6,12
2.093E6,25
2.093E6,24
2.093E6,9
2.093E6,17
2.093E6,16
2.093E6,7
2.094E6,26
2.094E6,3
2.094E6,4
2.094E6,18
2.094E6,15
2.094E6,2
2.095E6,30
2.095E6,19
2.096E6,1
2.096E6,43
2.097E6,25
2.097E6,14
2.097E6,31
2.097E6,5
2.097E6,35
2.098E6,26
2.098E6,33
2.099E6,28
2.099E6,11
2.099E6,4
2.100E6,24
2.100E6,29
2.100E6,38
2.100E6,44
2.101E6,34
2.102E6,30
2.102E6,37
2.103E6,20
2.103E6,9
2.103E6,10
2.104E6,8
2.104E6,32
2.104E6,45
2.105E6,15
2.105E6,41
2.105E6,36
2.105E6,3
2.105E6,17
2.105E6,6
2.105E6,40
2.106E6,18
2.106E6,16
2.107E6,27
2.107E6,42
2.107E6,12
2.107E6,13
2.107E6,21
2.108E6,2
2.108E6,39
2.108E6,23
2.108E6,7
2.108E6,22
2.108E6,36
2.109E6,5
2.109E6,15
2.109E6,20
2.110E6,25
2.110E6,34
2.110E6,26
2.111E6,1
2.111E6,22
2.112E6,35
2.112E6,16
2.112E6,18
2.112E6,23
2.112E6,40
2.113E6,30
2.113E6,13
2.114E6,31
2.114E6,19
2.115E6,29
2.115E6,11
2.115E6,3
2.116E6,28
2.116E6,32
2.116E6,24
2.116E6,17
2.117E6,39
2.117E6,7
2.117E6,4
2.117E6,21
2.117E6,43
2.118E6,9
2.118E6,10
2.118E6,6
2.119E6,14
2.119E6,41
2.119E6,44
2.119E6,37
2.119E6,8
2.120E6,33
2.121E6,38
2.121E6,2
2.121E6,12
2.121E6,42
2.121E6,27
2.122E6,36
2.122E6,32
2.123E6,8
2.123E6,23
2.123E6,34
2.123E6,16
2.123E6,9
2.123E6,2
2.124E6,28
2.124E6,27
2.124E6,6
2.124E6,31
2.126E6,11
2.126E6,33
2.126E6,29
2.126E6,10
2.127E6,4
2.127E6,14
2.128E6,21
2.128E6,26
2.128E6,3
2.128E6,15
2.129E6,30
2.129E6,20
2.130E6,35
2.130E6,25
2.130E6,12
2.130E6,5
2.131E6,38
2.131E6,7
2.132E6,37
2.132E6,1
2.133E6,19
2.133E6,18
2.133E6,22
2.134E6,17
2.134E6,13
2.135E6,24
2.135E6,3
2.136E6,10
2.136E6,5
2.137E6,1
2.137E6,12
2.138E6,11
2.139E6,4
2.140E6,6
2.140E6,7
2.141E6,14
2.142E6,13
2.142E6,15
2.143E6,2
2.144E6,9
2.145E6,8
2.149E6,1
2.152E6,2
2.153E6,4
2.155E6,3
2.162E6,5
2.162E6,2
2.163E6,1
2.168E6,3
2.174E6,4
