vin ,v("/vin" ?result "dc")/i("/M6/D" ?result "dc")
0.000,0.000
10.00E-3,832.9E3
20.00E-3,858.3E3
30.00E-3,868.9E3
40.00E-3,875.9E3
50.00E-3,881.3E3
60.00E-3,886.0E3
70.00E-3,890.2E3
80.00E-3,894.3E3
90.00E-3,898.1E3
100.0E-3,901.9E3
110.0E-3,905.6E3
120.0E-3,909.3E3
130.0E-3,913.0E3
140.0E-3,916.7E3
150.0E-3,920.4E3
160.0E-3,924.1E3
170.0E-3,927.8E3
180.0E-3,931.5E3
190.0E-3,935.2E3
200.0E-3,939.0E3
210.0E-3,942.8E3
220.0E-3,946.6E3
230.0E-3,950.5E3
240.0E-3,954.4E3
250.0E-3,958.3E3
260.0E-3,962.2E3
270.0E-3,966.2E3
280.0E-3,970.3E3
290.0E-3,974.4E3
300.0E-3,978.5E3
310.0E-3,982.6E3
320.0E-3,986.8E3
330.0E-3,991.1E3
340.0E-3,995.4E3
350.0E-3,999.7E3
360.0E-3,1.004E6
370.0E-3,1.009E6
380.0E-3,1.013E6
390.0E-3,1.018E6
400.0E-3,1.022E6
410.0E-3,1.027E6
420.0E-3,1.031E6
430.0E-3,1.036E6
440.0E-3,1.041E6
450.0E-3,1.046E6
460.0E-3,1.051E6
470.0E-3,1.056E6
480.0E-3,1.061E6
490.0E-3,1.066E6
500.0E-3,1.071E6
510.0E-3,1.076E6
520.0E-3,1.081E6
530.0E-3,1.087E6
540.0E-3,1.092E6
550.0E-3,1.098E6
560.0E-3,1.107E6
570.0E-3,1.127E6
580.0E-3,1.146E6
590.0E-3,1.166E6
600.0E-3,1.186E6
610.0E-3,1.206E6
620.0E-3,1.225E6
630.0E-3,1.245E6
640.0E-3,1.265E6
650.0E-3,1.285E6
660.0E-3,1.304E6
670.0E-3,1.324E6
680.0E-3,1.344E6
690.0E-3,1.364E6
700.0E-3,1.384E6
710.0E-3,1.403E6
720.0E-3,1.423E6
730.0E-3,1.443E6
740.0E-3,1.463E6
750.0E-3,1.482E6
760.0E-3,1.502E6
770.0E-3,1.522E6
780.0E-3,1.542E6
790.0E-3,1.561E6
800.0E-3,1.581E6
810.0E-3,1.601E6
820.0E-3,1.621E6
830.0E-3,1.640E6
840.0E-3,1.660E6
850.0E-3,1.680E6
860.0E-3,1.700E6
870.0E-3,1.719E6
880.0E-3,1.739E6
890.0E-3,1.759E6
900.0E-3,1.779E6
910.0E-3,1.799E6
920.0E-3,1.818E6
930.0E-3,1.838E6
940.0E-3,1.858E6
950.0E-3,1.878E6
960.0E-3,1.897E6
970.0E-3,1.917E6
980.0E-3,1.937E6
990.0E-3,1.957E6
1.000,1.976E6
