Time - Plot 0,Amplitude - Plot 0
0,-3.83E-10
1,3.81E-10
2,1.00E-09
3,1.65E-09
4,2.06E-09
5,2.18E-09
6,2.07E-09
7,1.33E-09
8,5.95E-10
9,1.62E-10
10,-2.20E-10
11,-4.33E-10
12,-1.21E-09
13,-1.90E-09
14,-2.55E-09
15,-3.08E-09
16,-2.26E-09
17,-1.63E-09
18,-8.95E-10
19,-3.48E-10
20,-3.46E-11
21,9.45E-10
22,4.08E-09
23,1.89E-08
24,7.80E-09
25,8.47E-09
26,7.77E-09
27,5.63E-09
28,2.87E-09
29,4.89E-10
30,-2.93E-11
31,-8.87E-10
32,-3.21E-09
33,-5.89E-09
34,-8.19E-09
35,-8.79E-09
36,-7.98E-09
37,-5.52E-09
38,-2.71E-09
39,-7.52E-10
40,4.41E-11
41,2.22E-09
42,7.42E-09
43,1.36E-08
44,3.43E-08
45,2.72E-08
46,2.18E-08
47,5.04E-08
48,1.35E-08
49,2.44E-09
50,-3.60E-10
51,-2.26E-09
52,-8.60E-09
53,-1.44E-08
54,-2.07E-08
55,-2.98E-08
56,-3.62E-08
57,-3.64E-08
58,-1.04E-08
59,-2.23E-09
60,1.42E-10
61,5.49E-09
62,2.80E-08
63,8.27E-08
64,9.03E-08
65,4.83E-08
66,1.26E-07
67,2.13E-07
68,5.42E-07
69,1.01E-07
70,-4.21E-10
71,-5.03E-08
72,-2.04E-08
73,-2.98E-08
74,-4.58E-07
75,-6.08E-08
76,-4.79E-08
77,-8.13E-08
78,-3.41E-08
79,-2.75E-09
80,2.49E-10
81,5.88E-09
82,2.08E-08
83,4.02E-08
84,1.08E-07
85,3.74E-07
86,3.86E-07
87,4.02E-07
88,9.23E-08
89,3.00E-08
90,-5.24E-10
91,-1.36E-08
92,-2.41E-08
93,-2.16E-07
94,-9.07E-08
95,-1.77E-07
96,-1.01E-07
97,-5.24E-08
98,-2.26E-08
99,-4.70E-09
100,3.16E-10
101,8.72E-09
102,2.94E-08
103,7.68E-08
104,4.18E-07
105,7.84E-07
106,2.13E-06
107,1.42E-06
108,1.52E-06
109,6.17E-08
110,-7.46E-10
111,-8.83E-09
112,-4.76E-08
113,-8.78E-08
114,-1.91E-07
115,-1.45E-07
116,-1.68E-07
117,-1.01E-07
118,-4.04E-08
119,-7.49E-09
120,4.93E-10
121,1.19E-08
122,4.90E-08
123,1.50E-07
124,5.94E-07
125,1.33E-06
126,5.72E-06
127,4.86E-06
128,2.92E-06
129,3.85E-07
130,-5.79E-10
131,-1.42E-08
132,-2.29E-07
133,-2.20E-07
134,-2.59E-07
135,-6.47E-07
136,-1.20E-06
137,-2.97E-07
138,-1.27E-07
139,-1.81E-08
140,6.25E-10
141,1.82E-08
142,8.90E-08
143,3.82E-07
144,1.19E-06
145,3.01E-06
146,6.01E-06
147,5.09E-06
148,3.30E-06
149,1.50E-06
150,-8.60E-10
151,-5.50E-08
152,-7.25E-07
153,-3.77E-07
154,-1.16E-06
155,-1.53E-06
156,-1.60E-06
157,-6.71E-07
158,-2.72E-07
159,-1.21E-07
160,8.32E-10
161,3.06E-08
162,5.10E-07
163,1.57E-06
164,4.38E-06
165,1.26E-05
166,1.73E-05
167,1.01E-05
168,6.14E-06
169,1.71E-06
170,-9.78E-10
171,-2.51E-07
172,-7.08E-07
173,-4.40E-07
174,-1.38E-06
175,-3.24E-06
176,-2.76E-06
177,-1.36E-06
178,-4.14E-07
179,-5.29E-08
180,9.41E-10
181,5.37E-08
182,7.16E-07
183,2.92E-06
184,1.18E-05
185,1.71E-05
186,1.95E-05
187,1.37E-05
188,5.24E-06
189,1.11E-06
190,-1.29E-09
191,-9.57E-08
192,-5.75E-07
193,-1.21E-06
194,-2.16E-06
195,-3.47E-06
196,-2.82E-06
197,-1.22E-06
198,-3.35E-07
199,-4.78E-08
200,1.39E-09
201,5.41E-08
202,4.28E-07
203,5.45E-06
204,1.28E-05
205,2.30E-05
206,2.77E-05
207,1.56E-05
208,5.47E-06
209,5.93E-07
210,-1.85E-09
211,-1.10E-07
212,-1.60E-06
213,-1.80E-06
214,-2.99E-06
215,-4.79E-06
216,-3.55E-06
217,-1.59E-06
218,-4.97E-07
219,-9.17E-08
220,1.72E-09
221,6.55E-08
222,5.67E-07
223,5.08E-06
224,1.66E-05
225,2.67E-05
226,2.79E-05
227,1.57E-05
228,6.04E-06
229,1.19E-06
230,-1.74E-09
231,-1.33E-07
232,-7.75E-07
233,-1.90E-06
234,-3.08E-06
235,-5.13E-06
236,-3.26E-06
237,-1.61E-06
238,-4.96E-07
239,-7.34E-08
240,2.20E-09
241,7.36E-08
242,2.32E-06
243,7.71E-06
244,2.10E-05
245,2.84E-05
246,3.51E-05
247,2.06E-05
248,7.42E-06
249,7.96E-07
250,-1.39E-09
251,-3.71E-07
252,-7.06E-07
253,-3.80E-06
254,-3.46E-06
255,-4.43E-06
256,-3.41E-06
257,-1.67E-06
258,-3.97E-07
259,-3.33E-08
260,2.35E-09
261,3.57E-08
262,6.43E-07
263,8.22E-06
264,2.57E-05
265,3.87E-05
266,4.24E-05
267,2.34E-05
268,1.02E-05
269,1.36E-06
270,-2.30E-09
271,-1.30E-07
272,-3.45E-06
273,-3.19E-06
274,-4.56E-06
275,-5.78E-06
276,-4.05E-06
277,-1.58E-06
278,-5.06E-07
279,-3.99E-08
280,2.90E-09
281,5.05E-08
282,6.06E-07
283,1.19E-05
284,2.83E-05
285,5.23E-05
286,5.19E-05
287,3.04E-05
288,1.01E-05
289,1.20E-06
290,-2.72E-09
291,-1.92E-07
292,-1.07E-06
293,-4.02E-06
294,-4.62E-06
295,-6.50E-06
296,-5.93E-06
297,-2.83E-06
298,-6.51E-07
299,-6.60E-08
