Time - Plot 0,Amplitude - Plot 0
2505,9.25E-09
2506,6.96E-09
2507,3.08E-09
2508,3.15E-10
2509,-6.57E-10
2510,-9.83E-10
2511,-1.17E-09
2512,-1.47E-09
2513,-1.88E-09
2514,-2.18E-09
2515,-2.13E-09
2516,-1.57E-09
2517,-7.42E-10
2518,-3.98E-11
2519,4.08E-10
2520,7.27E-10
2521,9.99E-10
2522,3.11E-09
2523,6.32E-09
2524,1.45E-08
2525,2.90E-08
2526,1.85E-08
2527,8.24E-09
2528,1.51E-09
2529,-7.35E-10
2530,-1.19E-09
2531,-1.59E-09
2532,-2.18E-09
2533,-2.71E-09
2534,-3.08E-09
2535,-3.15E-09
2536,-2.51E-09
2537,-1.17E-09
2538,-6.16E-11
2539,5.53E-10
2540,9.61E-10
2541,1.34E-09
2542,3.67E-09
2543,1.49E-08
2544,6.27E-08
2545,8.14E-08
2546,8.02E-08
2547,2.66E-08
2548,7.16E-09
2549,-5.51E-10
2550,-1.66E-09
2551,-2.51E-09
2552,-3.22E-09
2553,-4.45E-09
2554,-5.30E-09
2555,-6.12E-09
2556,-4.68E-09
2557,-2.36E-09
2558,-4.34E-10
2559,6.62E-10
2560,1.23E-09
2561,1.89E-09
2562,1.28E-08
2563,3.30E-08
2564,1.16E-07
2565,8.44E-08
2566,7.26E-08
2567,3.95E-08
2568,1.11E-08
2569,-5.62E-10
2570,-2.03E-09
2571,-2.81E-09
2572,-4.32E-09
2573,-5.86E-09
2574,-7.93E-09
2575,-9.03E-09
2576,-7.52E-09
2577,-3.92E-09
2578,-7.70E-10
2579,9.65E-10
2580,1.47E-09
2581,2.78E-09
2582,7.96E-09
2583,1.66E-07
2584,2.33E-07
2585,2.24E-07
2586,1.06E-07
2587,6.06E-08
2588,2.04E-08
2589,-3.10E-10
2590,-2.28E-09
2591,-3.69E-09
2592,-5.56E-09
2593,-7.61E-09
2594,-1.14E-08
2595,-1.32E-08
2596,-1.17E-08
2597,-5.30E-09
2598,-9.63E-10
2599,9.78E-10
2600,1.88E-09
2601,3.04E-09
2602,9.44E-09
2603,3.95E-08
2604,1.71E-07
2605,2.62E-07
2606,2.10E-07
2607,9.58E-08
2608,3.42E-08
2609,2.89E-10
2610,-2.94E-09
2611,-3.66E-08
2612,-8.87E-08
2613,-1.44E-07
2614,-6.18E-08
2615,-3.79E-08
2616,-3.43E-08
2617,-1.83E-08
2618,-1.34E-08
2619,1.01E-09
2620,2.21E-09
2621,4.82E-09
2622,1.34E-08
2623,6.35E-08
2624,1.57E-07
2625,3.32E-07
2626,3.43E-07
2627,1.76E-07
2628,3.73E-08
2629,1.74E-09
2630,-3.19E-09
2631,-1.58E-08
2632,-1.53E-08
2633,-1.74E-08
2634,-2.98E-08
2635,-3.71E-08
2636,-3.86E-08
2637,-1.41E-08
2638,-3.93E-09
2639,1.17E-09
2640,2.65E-09
2641,4.86E-09
2642,3.15E-08
2643,9.51E-08
2644,2.14E-07
2645,6.47E-07
2646,7.67E-07
2647,3.54E-07
2648,1.60E-07
2649,2.46E-08
2650,-3.66E-09
2651,-8.87E-09
2652,-2.56E-08
2653,-6.05E-08
2654,-1.75E-07
2655,-1.42E-07
2656,-1.39E-07
2657,-2.07E-07
2658,-1.14E-07
2659,-1.89E-08
2660,3.02E-09
2661,1.99E-08
2662,4.21E-08
2663,3.23E-07
2664,7.87E-07
2665,1.70E-06
2666,1.26E-06
2667,8.45E-07
2668,3.02E-07
2669,2.47E-08
2670,-4.10E-09
2671,-8.93E-09
2672,-3.21E-08
2673,-1.11E-07
2674,-2.45E-07
2675,-3.35E-07
2676,-2.90E-07
2677,-2.46E-07
2678,-9.57E-08
2679,-1.08E-08
2680,3.73E-09
2681,1.54E-08
2682,6.11E-08
2683,3.23E-07
2684,7.41E-07
2685,1.62E-06
2686,1.43E-06
2687,7.30E-07
2688,2.68E-07
2689,1.79E-08
2690,-4.84E-09
2691,-1.06E-08
2692,-2.05E-08
2693,-4.55E-08
2694,-7.19E-08
2695,-2.45E-07
2696,-1.43E-07
2697,-1.99E-07
2698,-4.93E-08
2699,-3.19E-09
2700,4.24E-09
2701,3.36E-10
2702,1.26E-10
2703,5.85E-11
2704,7.00E-12
2705,-1.98E-11
2706,-3.01E-11
2707,-2.85E-11
2708,-4.29E-11
2709,-5.00E-11
2710,-6.61E-11
2711,-6.59E-11
2712,-4.93E-11
2713,-7.57E-11
2714,-8.98E-11
2715,-4.17E-11
2716,-7.24E-11
2717,-6.22E-11
2718,-7.90E-11
2719,-8.23E-11
2720,-8.13E-11
2721,-7.86E-11
2722,-7.65E-11
2723,-7.64E-11
2724,-7.90E-11
2725,-8.17E-11
2726,-9.61E-11
2727,-9.84E-11
2728,-7.97E-11
2729,-1.22E-10
2730,-9.49E-11
2731,-1.18E-10
2732,-1.03E-10
2733,-9.63E-11
2734,-8.63E-11
2735,-8.77E-11
2736,-9.90E-11
2737,-9.99E-11
2738,-9.29E-11
2739,-7.85E-11
2740,-8.68E-11
2741,-9.36E-11
2742,-9.22E-11
2743,-9.05E-11
2744,-6.48E-11
2745,-8.30E-11
2746,-8.04E-11
2747,-7.42E-11
2748,-7.29E-11
2749,-7.94E-11
2750,-9.43E-11
2751,-5.64E-11
2752,-8.81E-11
2753,-7.75E-11
2754,-9.87E-11
2755,-7.87E-11
2756,-8.94E-11
2757,-8.22E-11
2758,-8.92E-11
2759,-6.55E-11
2760,-7.28E-11
2761,-7.40E-11
2762,-9.29E-11
2763,-1.14E-10
2764,-1.48E-10
2765,-5.73E-10
2766,-7.16E-11
2767,-7.03E-11
2768,-8.26E-11
2769,2.31E-11
2770,-2.06E-10
2771,-9.27E-11
2772,-1.20E-10
2773,-1.11E-10
2774,-1.12E-10
2775,-1.00E-10
2776,-9.49E-11
2777,-1.05E-10
2778,-9.47E-11
2779,-9.30E-11
2780,-9.22E-11
2781,-7.51E-11
2782,-7.94E-11
2783,-5.15E-11
2784,-7.42E-11
2785,-7.00E-11
2786,-8.67E-11
2787,-8.16E-11
2788,-1.19E-10
2789,-5.66E-11
2790,-4.17E-11
2791,-1.11E-10
2792,-9.15E-11
2793,-7.74E-11
2794,-8.84E-11
2795,-8.66E-11
2796,-1.22E-10
2797,-9.04E-11
2798,-9.76E-11
2799,-8.57E-11
2800,-6.53E-11
2801,-9.35E-11
2802,-8.73E-11
2803,-9.74E-11
2804,-1.09E-10
2805,-1.20E-10
2806,-1.07E-10
2807,-1.06E-10
2808,-8.69E-11
2809,-9.10E-11
2810,-6.07E-11
2811,-7.10E-11
2812,-9.11E-11
2813,-1.03E-10
2814,-1.01E-10
2815,-1.00E-10
2816,-7.70E-11
2817,-8.88E-11
2818,-9.19E-11
2819,-8.10E-11
2820,-9.71E-11
2821,-5.77E-11
2822,-1.02E-10
2823,-1.10E-10
2824,-1.08E-10
2825,-7.98E-11
2826,-6.70E-11
2827,-6.73E-11
2828,-6.68E-11
2829,-8.60E-11
2830,-1.04E-10
2831,-8.14E-11
2832,-5.84E-11
2833,-8.34E-11
2834,-8.67E-11
2835,-8.76E-11
2836,-9.47E-11
2837,-8.06E-11
2838,-7.07E-11
2839,-7.49E-11
2840,-1.14E-10
2841,-8.73E-11
2842,-1.02E-10
2843,-9.77E-11
2844,-1.14E-10
2845,-9.58E-11
2846,-1.10E-10
2847,-9.83E-11
2848,-1.01E-10
2849,-1.34E-10
2850,-1.08E-10
2851,-7.57E-11
2852,-5.08E-11
2853,-6.80E-11
2854,-7.67E-11
2855,-8.65E-11
2856,-8.96E-11
2857,-6.60E-11
2858,-9.72E-11
2859,-8.77E-11
2860,-6.89E-11
2861,-6.46E-11
2862,-8.22E-11
2863,-9.24E-11
2864,-9.82E-11
2865,-9.08E-11
2866,-8.28E-11
2867,-1.03E-10
2868,-7.02E-11
2869,-7.78E-11
2870,-1.08E-10
2871,-6.75E-11
2872,-1.23E-10
2873,-1.20E-10
2874,-9.25E-11
2875,-9.53E-11
2876,-9.41E-11
2877,-9.14E-11
2878,-7.85E-11
2879,-1.09E-10
2880,-9.41E-11
2881,-9.54E-11
2882,-9.87E-11
2883,-8.87E-11
2884,-4.28E-11
2885,-5.24E-11
2886,-8.72E-11
2887,-5.80E-11
2888,-1.31E-11
2889,-7.41E-11
2890,-8.41E-11
2891,-4.84E-11
2892,-8.64E-11
2893,-8.36E-11
2894,-1.06E-10
2895,-7.57E-11
2896,-1.02E-10
2897,-9.06E-11
2898,-9.79E-11
2899,-9.56E-11
2900,-8.33E-11
2901,-7.35E-11
2902,-8.28E-11
2903,-8.14E-11
2904,-7.68E-11
2905,-1.21E-11
2906,-7.60E-11
2907,-5.22E-11
2908,-1.06E-10
2909,-1.19E-10
2910,-9.28E-11
2911,-8.98E-11
2912,-1.02E-10
2913,-1.07E-10
2914,-1.05E-10
2915,-8.84E-11
2916,-1.10E-10
2917,-9.97E-11
2918,-1.00E-10
2919,-1.06E-10
2920,-8.48E-11
2921,-8.89E-11
2922,-9.95E-11
2923,-8.43E-11
2924,-8.49E-11
2925,-9.00E-11
2926,-8.93E-11
2927,-8.78E-11
2928,-8.33E-11
2929,-7.49E-11
2930,-8.32E-11
2931,-9.63E-11
2932,-8.87E-11
2933,-7.17E-11
2934,-8.08E-11
2935,-7.96E-11
2936,-6.08E-11
2937,-8.96E-11
2938,-9.17E-11
2939,-9.19E-11
2940,-7.63E-11
2941,-7.54E-11
2942,-7.90E-11
2943,-5.75E-11
2944,-1.12E-10
2945,-8.23E-11
2946,-8.35E-11
2947,-9.39E-11
2948,-7.25E-11
2949,-6.51E-11
2950,-8.71E-11
2951,-7.95E-11
2952,-7.06E-11
2953,-6.90E-11
2954,-7.99E-11
2955,-8.52E-11
2956,-8.70E-11
2957,-9.71E-11
2958,-8.06E-11
2959,-7.49E-11
2960,-8.45E-11
2961,-8.14E-11
2962,-8.80E-11
2963,-8.68E-11
2964,-7.43E-11
2965,-7.97E-11
2966,-8.05E-11
2967,-9.23E-11
2968,-8.71E-11
