Time - Plot 0,Amplitude - Plot 0
0,-5.49E-06
1,0.515053
2,0.979703
3,1.34832
4,1.58498
5,1.66663
6,1.58499
7,1.34832
8,0.979702
9,0.515053
10,-7.39E-06
11,-0.515109
12,-0.979801
13,-1.34842
14,-1.58504
15,-1.66668
16,-1.58504
17,-1.34842
18,-0.979802
19,-0.515109
20,-2.27E-05
21,1.03011
22,1.95922
23,2.6964
24,3.17029
25,3.33414
26,3.17028
27,2.69639
28,1.95923
29,1.03011
30,-7.01E-06
31,-1.03017
32,-1.95929
33,-2.6969
34,-3.17083
35,-3.33466
36,-3.17082
37,-2.6969
38,-1.95929
39,-1.03017
40,-2.36E-05
41,1.54505
42,2.93925
43,4.04606
44,4.75597
45,5.00016
46,4.75594
47,4.04605
48,2.93924
49,1.54505
50,-5.64E-06
51,-1.5451
52,-2.93975
53,-4.04693
54,-4.75653
55,-5.00074
56,-4.75653
57,-4.04698
58,-2.93976
59,-1.5451
60,-2.01E-05
61,2.06003
62,3.9198
63,5.39353
64,6.34152
65,6.66781
66,6.34187
67,5.39355
68,3.91964
69,2.06004
70,-6.70E-06
71,-2.06005
72,-3.92032
73,-5.39408
74,-6.34239
75,-6.66828
76,-6.34206
77,-5.39408
78,-3.92034
79,-2.06006
80,-2.37E-05
81,2.57488
82,4.89815
83,6.74332
84,7.92512
85,8.33367
86,7.92541
87,6.74282
88,4.89817
89,2.57489
90,-6.93E-06
91,-2.57538
92,-4.89877
93,-6.74499
94,-7.92583
95,-8.33462
96,-7.92584
97,-6.74398
98,-4.89876
99,-2.57537
100,-2.54E-05
101,3.09036
102,5.87849
103,8.08977
104,9.51142
105,10.0004
106,9.5114
107,8.08997
108,5.87836
109,3.09037
110,-5.94E-06
111,-3.09086
112,-5.87883
113,-8.09053
114,-9.51207
115,-10.0013
116,-9.51205
117,-8.09056
118,-5.8791
119,-3.09087
120,-2.36E-05
121,3.60583
122,6.85841
123,9.43951
124,11.0963
125,11.6676
126,11.0961
127,9.43965
128,6.85858
129,3.60589
130,-5.94E-06
131,-3.60637
132,-6.85929
133,-9.4405
134,-11.0968
135,-11.668
136,-11.097
137,-9.44049
138,-6.8594
139,-3.60637
140,-2.36E-05
141,4.12093
142,7.83686
143,10.7862
144,12.6811
145,13.3323
146,12.6812
147,10.7867
148,7.83698
149,4.1216
150,-5.71E-06
151,-4.12183
152,-7.83811
153,-10.7875
154,-12.6818
155,-13.3329
156,-12.6816
157,-10.7874
158,-7.83757
159,-4.12197
160,-2.34E-05
161,4.63593
162,8.81698
163,12.136
164,14.266
165,15
166,14.2661
167,12.1359
168,8.8176
169,4.63597
170,-5.87E-06
171,-4.6365
172,-8.81856
173,-12.1365
174,-14.2668
175,-15.0008
176,-14.2668
177,-12.1365
178,-8.81858
179,-4.6365
180,-2.30E-05
181,5.15057
182,9.77557
183,13.4833
184,15.8497
185,16.6663
186,15.8498
187,13.4833
188,9.79703
189,5.15047
190,-6.17E-06
191,-5.15119
192,-9.79785
193,-13.484
194,-15.8503
195,-16.6668
196,-15.8503
197,-13.4839
198,-9.79786
199,-5.15116
200,-2.45E-05
201,5.66581
202,10.7754
203,14.8325
204,17.4359
205,18.3316
206,17.4359
207,14.8324
208,10.7761
209,5.66595
210,-5.18E-06
211,-5.66644
212,-10.7767
213,-14.8331
214,-17.4368
215,-18.3324
216,-17.4367
217,-14.8329
218,-10.7767
219,-5.66643
220,-2.38E-05
221,6.18129
222,11.7564
223,16.1786
224,19.0195
225,20
226,19.0196
227,16.1787
228,11.7568
229,6.18127
230,-4.80E-06
231,-6.18197
232,-11.7566
233,-16.1797
234,-19.0201
235,-20.0007
236,-19.0203
237,-16.1795
238,-11.7575
239,-6.18189
240,-2.43E-05
241,6.69661
242,12.735
243,17.5289
244,20.6052
245,21.6706
246,20.6052
247,17.5287
248,12.7352
249,6.69665
250,-6.78E-06
251,-6.69763
252,-12.7354
253,-17.5294
254,-20.6058
255,-21.6908
256,-20.6057
257,-17.5295
258,-12.7357
259,-6.6976
260,-2.55E-05
261,7.21118
262,13.7147
263,18.8755
264,22.2304
265,23.3665
266,22.2324
267,18.8753
268,13.6707
269,7.21118
270,-4.88E-06
271,-7.21187
272,-13.7152
273,-18.876
274,-22.2536
275,-23.4066
276,-22.2533
277,-18.8759
278,-13.7154
279,-7.21184
280,-2.39E-05
281,7.72553
282,14.6957
283,20.2246
284,23.8151
285,25.0247
286,23.8174
287,20.2247
288,14.6957
289,7.72542
290,-5.33E-06
291,-7.72613
292,-14.6963
293,-20.2248
294,-23.8575
295,-25.0491
296,-23.8594
297,-20.2253
298,-14.6964
299,-7.72606
