Time - Plot 0,Amplitude - Plot 0
2502,5.87852
2503,8.08987
2504,9.51153
2505,10.0005
2506,9.5115
2507,8.08984
2508,5.87853
2509,3.09037
2510,-7.54E-06
2511,-3.09098
2512,-5.87921
2513,-8.09062
2514,-9.51227
2515,-10.0012
2516,-9.51226
2517,-8.09062
2518,-5.87925
2519,-3.09098
2520,-3.35E-05
2521,3.60591
2522,6.85855
2523,9.43959
2524,11.0961
2525,11.6677
2526,11.0961
2527,9.43959
2528,6.85856
2529,3.60591
2530,-5.26E-06
2531,-3.60654
2532,-6.85959
2533,-9.4407
2534,-11.0968
2535,-11.6684
2536,-11.0968
2537,-9.44065
2538,-6.85957
2539,-3.60652
2540,-3.33E-05
2541,4.12105
2542,7.83682
2543,10.7867
2544,12.6811
2545,13.3321
2546,12.6811
2547,10.7867
2548,7.83684
2549,4.12105
2550,-6.86E-06
2551,-4.12206
2552,-7.83757
2553,-10.7874
2554,-12.6818
2555,-13.3328
2556,-12.6818
2557,-10.7874
2558,-7.83756
2559,-4.12204
2560,-3.49E-05
2561,4.63599
2562,8.81785
2563,12.136
2564,14.2663
2565,15.0001
2566,14.2662
2567,12.136
2568,8.81785
2569,4.63597
2570,-4.35E-06
2571,-4.63663
2572,-8.81859
2573,-12.1367
2574,-14.2669
2575,-15.0011
2576,-14.2669
2577,-12.1367
2578,-8.81857
2579,-4.63661
2580,-3.54E-05
2581,5.15056
2582,9.7972
2583,13.4834
2584,15.8498
2585,16.6664
2586,15.8498
2587,13.4833
2588,9.79721
2589,5.15058
2590,-4.66E-06
2591,-5.15124
2592,-9.79796
2593,-13.4839
2594,-15.8504
2595,-16.6669
2596,-15.8503
2597,-13.4839
2598,-9.79796
2599,-5.15123
2600,-3.28E-05
2601,5.66582
2602,10.7756
2603,14.8325
2604,17.4361
2605,18.3316
2606,17.4361
2607,14.8325
2608,10.7755
2609,5.66581
2610,-7.16E-06
2611,-5.66647
2612,-10.7766
2613,-14.8332
2614,-17.4369
2615,-18.3323
2616,-17.4369
2617,-14.8331
2618,-10.7766
2619,-5.66649
2620,-3.53E-05
2621,6.18132
2622,11.7569
2623,16.1787
2624,19.0196
2625,20.0002
2626,19.0197
2627,16.1787
2628,11.7568
2629,6.18134
2630,-1.04E-05
2631,-6.18206
2632,-11.7576
2633,-16.1796
2634,-19.0203
2635,-20.0008
2636,-19.0203
2637,-16.1796
2638,-11.7576
2639,-6.18203
2640,-3.27E-05
2641,6.69674
2642,12.735
2643,17.5289
2644,20.6053
2645,21.6724
2646,20.6056
2647,17.529
2648,12.7351
2649,6.69672
2650,-5.64E-06
2651,-6.69779
2652,-12.7357
2653,-17.5297
2654,-20.606
2655,-21.6957
2656,-20.606
2657,-17.5298
2658,-12.7358
2659,-6.69779
2660,-3.29E-05
2661,7.21125
2662,13.7147
2663,18.8754
2664,22.2418
2665,23.3633
2666,22.2278
2667,18.8755
2668,13.7147
2669,7.21125
2670,-7.16E-06
2671,-7.21197
2672,-13.7153
2673,-18.8761
2674,-22.2569
2675,-23.4138
2676,-22.2589
2677,-18.8761
2678,-13.7154
2679,-7.21195
2680,-3.20E-05
2681,7.72539
2682,14.6959
2683,20.2248
2684,23.8221
2685,25.0242
2686,23.814
2687,20.2249
2688,14.6959
2689,7.72539
2690,-7.77E-06
2691,-7.72613
2692,-14.6965
2693,-20.2255
2694,-23.8594
2695,-25.0494
2696,-23.8574
2697,-20.2255
2698,-14.6965
2699,-7.72615
2700,-3.21E-05
2701,-3.26E-05
2702,-3.31E-05
2703,-3.38E-05
2704,-3.51E-05
2705,-3.38E-05
2706,-3.38E-05
2707,-3.33E-05
2708,-3.38E-05
2709,-3.54E-05
2710,-3.15E-05
2711,-3.03E-05
2712,-3.22E-05
2713,-2.97E-05
2714,-3.38E-05
2715,-2.96E-05
2716,-3.11E-05
2717,-3.25E-05
2718,-3.03E-05
2719,-3.16E-05
2720,-3.32E-05
2721,-3.23E-05
2722,-3.35E-05
2723,-3.24E-05
2724,-3.13E-05
2725,-3.47E-05
2726,-3.24E-05
2727,-3.25E-05
2728,-3.31E-05
2729,-3.47E-05
2730,-3.35E-05
2731,-3.35E-05
2732,-3.51E-05
2733,-3.45E-05
2734,-3.57E-05
2735,-3.41E-05
2736,-3.27E-05
2737,-3.35E-05
2738,-3.41E-05
2739,-3.40E-05
2740,-3.61E-05
2741,-3.33E-05
2742,-3.41E-05
2743,-3.31E-05
2744,-3.27E-05
2745,-3.35E-05
2746,-3.25E-05
2747,-3.41E-05
2748,-3.50E-05
2749,-3.40E-05
2750,-3.31E-05
2751,-3.48E-05
2752,-3.35E-05
2753,-3.34E-05
2754,-3.28E-05
2755,-3.36E-05
2756,-3.38E-05
2757,-3.40E-05
2758,-3.44E-05
2759,-3.38E-05
2760,-3.31E-05
2761,-3.44E-05
2762,-3.48E-05
2763,-3.37E-05
2764,-3.30E-05
2765,-3.39E-05
2766,-3.32E-05
2767,-3.29E-05
2768,-3.25E-05
2769,-3.28E-05
2770,-3.28E-05
2771,-3.46E-05
2772,-3.38E-05
2773,-3.43E-05
2774,-3.52E-05
2775,-3.35E-05
