Time - Plot 0,Amplitude - Plot 0
0,-4.64E-10
1,4.98E-10
2,7.17E-10
3,6.88E-10
4,3.85E-10
5,2.76E-10
6,6.38E-11
7,-2.35E-10
8,-5.36E-10
9,-8.15E-10
10,-8.76E-10
11,-1.05E-09
12,-1.10E-09
13,-1.03E-09
14,-9.55E-10
15,-7.22E-10
16,-4.11E-10
17,-9.42E-11
18,2.13E-10
19,4.38E-10
20,6.89E-10
21,1.61E-09
22,1.62E-09
23,1.63E-09
24,1.48E-09
25,1.07E-09
26,4.25E-10
27,-3.30E-10
28,-9.77E-10
29,-1.48E-09
30,-1.86E-09
31,-2.01E-09
32,-2.34E-09
33,-2.41E-09
34,-2.34E-09
35,-1.71E-09
36,-9.81E-10
37,-1.58E-10
38,4.59E-10
39,1.15E-09
40,1.40E-09
41,2.63E-09
42,3.00E-09
43,3.35E-09
44,4.18E-09
45,4.56E-09
46,2.66E-09
47,4.22E-10
48,-1.23E-09
49,-2.37E-09
50,-2.84E-09
51,-3.38E-09
52,-4.53E-09
53,-6.12E-09
54,-1.50E-08
55,-5.76E-08
56,-5.23E-08
57,-5.31E-08
58,-8.21E-08
59,-1.93E-08
60,2.61E-09
61,1.47E-08
62,1.14E-08
63,1.11E-07
64,8.80E-09
65,1.42E-08
66,3.30E-08
67,4.96E-08
68,3.42E-09
69,-2.67E-09
70,-4.26E-09
71,-5.15E-09
72,-6.02E-09
73,-6.70E-09
74,-2.27E-08
75,-4.07E-07
76,-1.72E-07
77,-1.42E-07
78,-5.26E-08
79,-1.59E-09
80,3.45E-09
81,7.02E-09
82,7.80E-09
83,2.97E-08
84,2.51E-08
85,3.37E-08
86,4.31E-08
87,7.29E-08
88,1.96E-08
89,6.18E-10
90,-6.04E-09
91,-7.78E-09
92,-1.95E-08
93,-9.68E-08
94,-2.60E-07
95,-3.23E-07
96,-3.20E-07
97,-5.38E-08
98,-1.69E-07
99,-2.43E-08
100,5.49E-09
101,1.91E-08
102,1.37E-08
103,3.68E-07
104,4.58E-08
105,1.07E-07
106,1.55E-07
107,3.09E-08
108,6.01E-08
109,-3.82E-09
110,-8.32E-09
111,-1.14E-08
112,-1.36E-08
113,-1.49E-08
114,-2.49E-07
115,-1.27E-08
116,-6.87E-09
117,-2.77E-09
118,2.05E-09
119,5.45E-09
120,7.74E-09
121,1.10E-08
122,2.33E-08
123,4.06E-08
124,7.21E-08
125,1.92E-07
126,5.53E-07
127,4.33E-07
128,1.08E-06
129,1.00E-07
130,-1.07E-08
131,-1.47E-08
132,-1.70E-08
133,-1.85E-08
134,-1.78E-08
135,-1.44E-08
136,-9.44E-09
137,-3.32E-09
138,2.60E-09
139,7.46E-09
140,1.05E-08
141,1.47E-08
142,2.59E-08
143,5.06E-08
144,1.51E-07
145,9.40E-07
146,1.16E-06
147,7.44E-07
148,1.65E-07
149,2.58E-08
150,-1.46E-08
151,-2.07E-08
152,-4.49E-08
153,-5.49E-08
154,-4.05E-08
155,-3.26E-08
156,-4.33E-08
157,-2.84E-08
158,-2.97E-08
159,8.56E-09
160,1.41E-08
161,2.00E-08
162,4.89E-08
163,8.19E-08
164,5.25E-07
165,1.43E-06
166,1.43E-06
167,7.50E-07
168,7.93E-07
169,7.49E-08
170,-1.85E-08
171,-2.66E-08
172,-5.16E-08
173,-8.38E-08
174,-2.91E-07
175,-4.68E-07
176,-4.36E-07
177,-3.60E-08
178,-1.48E-09
179,1.19E-08
180,1.89E-08
181,2.62E-08
182,7.24E-08
183,3.66E-07
184,6.14E-07
185,1.68E-06
186,1.31E-06
187,1.37E-06
188,5.53E-07
189,5.97E-08
190,-2.36E-08
191,-3.57E-08
192,-4.24E-08
193,-7.39E-08
194,-1.05E-07
195,-4.00E-08
196,-1.43E-07
197,-6.01E-08
198,-3.33E-09
199,1.51E-08
200,2.42E-08
201,3.24E-08
202,6.66E-08
203,7.80E-07
204,1.51E-06
205,1.87E-06
206,1.43E-06
207,1.55E-06
208,5.80E-07
209,1.15E-07
210,-3.03E-08
211,-4.17E-08
212,-5.68E-08
213,-1.62E-07
214,-1.29E-07
215,-2.48E-07
216,-6.84E-08
217,-5.12E-08
218,-4.11E-08
219,1.86E-08
220,3.12E-08
221,4.26E-08
222,2.49E-07
223,3.58E-07
224,1.05E-06
225,1.88E-06
226,2.09E-06
227,2.62E-06
228,1.03E-06
229,1.77E-07
230,-3.64E-08
231,-5.02E-08
232,-8.10E-08
233,-1.48E-07
234,-4.64E-07
235,-2.51E-07
236,-2.31E-07
237,-1.10E-07
238,-2.79E-08
239,1.42E-08
240,3.82E-08
241,5.47E-08
242,1.72E-07
243,1.41E-06
244,2.16E-06
245,3.24E-06
246,3.39E-06
247,1.72E-06
248,8.55E-07
249,2.23E-07
250,-4.40E-08
251,-7.00E-08
252,-1.02E-07
253,-1.21E-07
254,-1.77E-07
255,-3.64E-07
256,-2.81E-07
257,-4.57E-07
258,-5.31E-08
259,1.36E-08
260,4.67E-08
261,6.90E-08
262,3.14E-07
263,1.62E-06
264,2.16E-06
265,3.57E-06
266,2.88E-06
267,2.33E-06
268,9.43E-07
269,4.04E-07
270,-4.93E-08
271,-1.00E-07
272,-1.46E-07
273,-2.72E-07
274,-3.04E-07
