Time - Plot 0,Amplitude - Plot 0
0,-1.76E-05
1,0.515043
2,0.979686
3,1.34831
4,1.58497
5,1.66661
6,1.58497
7,1.34831
8,0.979686
9,0.515039
10,-1.67E-05
11,-0.515116
12,-0.9798
13,-1.34842
14,-1.58504
15,-1.66668
16,-1.58504
17,-1.34842
18,-0.979801
19,-0.515115
20,-2.83E-05
21,1.0301
22,1.95921
23,2.69633
24,3.1702
25,3.33402
26,3.17017
27,2.6963
28,1.95921
29,1.03009
30,-1.79E-05
31,-1.03018
32,-1.95929
33,-2.69696
34,-3.17084
35,-3.33468
36,-3.17084
37,-2.69698
38,-1.95929
39,-1.03018
40,-2.74E-05
41,1.54503
42,2.93915
43,4.04587
44,4.75579
45,5.00005
46,4.75579
47,4.04587
48,2.93916
49,1.54504
50,-1.85E-05
51,-1.54511
52,-2.93982
53,-4.04693
54,-4.75656
55,-5.0008
56,-4.75656
57,-4.04692
58,-2.93983
59,-1.5451
60,-2.82E-05
61,2.06002
62,3.9196
63,5.39339
64,6.34133
65,6.66761
66,6.34133
67,5.39339
68,3.9196
69,2.06001
70,-1.48E-05
71,-2.06006
72,-3.92028
73,-5.39413
74,-6.34211
75,-6.66842
76,-6.34211
77,-5.39414
78,-3.92031
79,-2.06005
80,-2.71E-05
81,2.5748
82,4.89804
83,6.74316
84,7.92506
85,8.3336
86,7.92504
87,6.74318
88,4.89856
89,2.5748
90,-1.29E-05
91,-2.57545
92,-4.89881
93,-6.74396
94,-7.92586
95,-8.33441
96,-7.92586
97,-6.7438
98,-4.8988
99,-2.57544
100,-2.90E-05
101,3.09025
102,5.87836
103,8.08986
104,9.51149
105,10.0006
106,9.51115
107,8.08985
108,5.87852
109,3.09044
110,-1.48E-05
111,-3.09093
112,-5.87919
113,-8.09061
114,-9.51202
115,-10.0011
116,-9.51203
117,-8.0906
118,-5.87912
119,-3.09091
120,-2.81E-05
121,3.60571
122,6.8583
123,9.43931
124,11.096
125,11.6674
126,11.0961
127,9.43948
128,6.85828
129,3.6057
130,-1.70E-05
131,-3.6064
132,-6.85938
133,-9.44044
134,-11.0968
135,-11.6682
136,-11.0968
137,-9.44043
138,-6.85934
139,-3.60636
140,-2.85E-05
141,4.1208
142,7.83679
143,10.7867
144,12.681
145,13.3323
146,12.6809
147,10.7866
148,7.8368
149,4.12081
150,-1.47E-05
151,-4.12184
152,-7.83758
153,-10.7876
154,-12.6817
155,-13.3328
156,-12.6818
157,-10.7875
158,-7.83759
159,-4.12184
160,-2.69E-05
161,4.63579
162,8.8176
163,12.1357
164,14.266
165,14.9998
166,14.2662
167,12.1357
168,8.81781
169,4.63581
170,-1.32E-05
171,-4.63654
172,-8.81836
173,-12.1369
174,-14.2666
175,-15.0007
176,-14.2488
177,-12.1367
178,-8.81846
179,-4.63651
180,-2.82E-05
181,5.15052
182,9.79721
183,13.4841
184,15.8497
185,16.6662
186,15.7917
187,13.4828
188,9.79703
189,5.15062
190,-1.51E-05
191,-5.15121
192,-9.79779
193,-13.4838
194,-15.8504
195,-16.6669
196,-15.8503
197,-13.484
198,-9.79779
199,-5.1512
200,-2.52E-05
201,5.66571
202,10.7755
203,14.8328
204,17.4356
205,18.3314
206,17.4356
207,14.8322
208,10.7759
209,5.53829
210,-1.22E-05
211,-5.66673
212,-10.7766
213,-14.8329
214,-17.4364
215,-18.3322
216,-17.4365
217,-14.8329
218,-10.7766
219,-5.66642
220,-2.60E-05
221,6.18117
222,11.7573
223,16.1784
224,19.0194
225,19.9999
226,19.0195
227,16.1786
228,11.7565
229,6.1812
230,-1.40E-05
231,-6.18189
232,-11.7574
233,-16.1795
234,-19.0203
235,-20.0005
236,-19.0202
237,-16.1795
238,-11.7574
239,-6.18187
240,-2.58E-05
241,6.69648
242,12.7343
243,17.5286
244,20.6051
245,21.6688
246,20.6052
247,17.5285
248,12.7349
249,6.69646
250,-1.32E-05
251,-6.69757
252,-12.7357
253,-17.5295
254,-20.6063
255,-21.6919
256,-20.6058
257,-17.5294
258,-12.7356
259,-6.69752
260,-2.36E-05
261,7.2111
262,13.7149
263,18.8753
264,22.2281
265,23.3681
266,22.2266
267,18.8754
268,13.7145
269,7.21111
270,-1.31E-05
271,-7.2119
272,-13.7154
273,-18.8755
274,-22.2487
275,-23.4101
276,-22.2528
277,-18.876
278,-13.7152
279,-7.21179
280,-2.30E-05
281,7.72539
282,14.1571
283,20.2244
284,23.8198
285,25.0157
286,23.809
287,20.2246
288,14.6955
289,7.7252
290,-1.54E-05
291,-7.72615
292,-14.6963
293,-17.9252
294,-23.855
295,-25.0431
296,-23.8628
297,-20.2252
298,-14.6962
299,-7.72605
